SGD_number ,Site,Day,Colony,Parameter,Actual ,Predicted ,Notes 
0,Varari ,1,"1,2,3",Nitrate,2.52,2.52,"used just the seawater from each individual day, did not average all the days together "
0.01,Varari ,1,"1,2,3",Nitrate,4.67,2.523997,
0.03,Varari ,1,"1,2,3",Nitrate,3.03,2.531991,
0.05,Varari ,1,"1,2,3",Nitrate,1.87,2.539985,
0.1,Varari ,1,"1,2,3",Nitrate,2.5,2.55997,
0.5,Varari ,1,"1,2,3",Nitrate,2.23,2.71985,
1,Varari ,1,"1,2,3",Nitrate,2.58,2.9197,
2,Varari ,1,"1,2,3",Nitrate,2.78,3.3194,
4,Varari ,1,"1,2,3",Nitrate,3.21,4.1188,
0,Varari ,2,4,Nitrate,0.99,0.99,
0.01,Varari ,2,4,Nitrate,3.26,0.99415,
0.03,Varari ,2,4,Nitrate,2.63,1.00245,
0.05,Varari ,2,4,Nitrate,1.63,1.01075,
0.1,Varari ,2,4,Nitrate,3.14,1.0315,
0.5,Varari ,2,4,Nitrate,2.84,1.1975,
1,Varari ,2,4,Nitrate,1.08,1.405,
2,Varari ,2,4,Nitrate,3.54,1.82,
4,Varari ,2,4,Nitrate,4.47,2.65,
0,Varari ,3,"5,6",Nitrate,0.48,0.48,
0.01,Varari ,3,"5,6",Nitrate,0.52,0.484201,
0.03,Varari ,3,"5,6",Nitrate,1.79,0.492603,
0.05,Varari ,3,"5,6",Nitrate,0.28,0.501005,
0.1,Varari ,3,"5,6",Nitrate,1.32,0.52201,
0.5,Varari ,3,"5,6",Nitrate,0.29,0.69005,
1,Varari ,3,"5,6",Nitrate,3.05,0.9001,
2,Varari ,3,"5,6",Nitrate,1.02,1.3202,
4,Varari ,3,"5,6",Nitrate,3.24,2.1604,
0,Varari ,4,"7,8",Nitrate,0.6,0.6,
0.01,Varari ,4,"7,8",Nitrate,0.72,0.604189,
0.03,Varari ,4,"7,8",Nitrate,0.83,0.612567,
0.05,Varari ,4,"7,8",Nitrate,0.47,0.620945,
0.1,Varari ,4,"7,8",Nitrate,0.7,0.64189,
0.5,Varari ,4,"7,8",Nitrate,0.76,0.80945,
1,Varari ,4,"7,8",Nitrate,0.86,1.0189,
2,Varari ,4,"7,8",Nitrate,1.13,1.4378,
4,Varari ,4,"7,8",Nitrate,2.05,2.2756,
0,Varari ,1,"1,2,3",Phosphate,0.03,0.03,
0.01,Varari ,1,"1,2,3",Phosphate,0.06,0.030247,
0.03,Varari ,1,"1,2,3",Phosphate,0.07,0.030741,
0.05,Varari ,1,"1,2,3",Phosphate,0.08,0.031235,
0.1,Varari ,1,"1,2,3",Phosphate,0.05,0.03247,
0.5,Varari ,1,"1,2,3",Phosphate,0.05,0.04235,
1,Varari ,1,"1,2,3",Phosphate,0.07,0.0547,
2,Varari ,1,"1,2,3",Phosphate,0.09,0.0794,
4,Varari ,1,"1,2,3",Phosphate,0.13,0.1288,
0,Varari ,2,4,Phosphate,0.05,0.05,
0.01,Varari ,2,4,Phosphate,0.07,0.050245,
0.03,Varari ,2,4,Phosphate,0.03,0.050735,
0.05,Varari ,2,4,Phosphate,0.06,0.051225,
0.1,Varari ,2,4,Phosphate,0.03,0.05245,
0.5,Varari ,2,4,Phosphate,0.02,0.06225,
1,Varari ,2,4,Phosphate,0.04,0.0745,
2,Varari ,2,4,Phosphate,0.07,0.099,
4,Varari ,2,4,Phosphate,1.07,0.148,
0,Varari ,3,"5,6",Phosphate,0.1,0.1,
0.01,Varari ,3,"5,6",Phosphate,0.04,0.10024,
0.03,Varari ,3,"5,6",Phosphate,0.04,0.10072,
0.05,Varari ,3,"5,6",Phosphate,0.04,0.1012,
0.1,Varari ,3,"5,6",Phosphate,0.27,0.1024,
0.5,Varari ,3,"5,6",Phosphate,0.05,0.112,
1,Varari ,3,"5,6",Phosphate,0.2,0.124,
2,Varari ,3,"5,6",Phosphate,0.07,0.148,
4,Varari ,3,"5,6",Phosphate,0.07,0.196,
0,Varari ,4,"7,8",Phosphate,0.03,0.03,
0.01,Varari ,4,"7,8",Phosphate,0.06,0.030247,
0.03,Varari ,4,"7,8",Phosphate,0.11,0.030741,
0.05,Varari ,4,"7,8",Phosphate,0.06,0.031235,
