new_colonynumber,pH,sample_ID,SGD_number,site,salinity,date,light_dark,P_R,umol.cm2.hr,umol.cm2.hr_uncorr,phosphate_umolL,silicate_umolL,NN_umolL,ammonia_umolL
13,8.14,Cabral_Col5_Dil1_Light,0,Cabral,36.6,6/10/23,LIGHT,NP,0.3745038105991864,0.3136618814224997,0.05,3.38,0.16,0.52
14,8.14,Cabral_Col6_Dil1_Light,0,Cabral,36.6,6/10/23,LIGHT,NP,0.4719638975366522,0.39648680817551807,0.05,3.38,0.16,0.52
15,8.09,Cabral_Col7_Dil1_Light,0,Cabral,36.5,6/11/23,LIGHT,NP,0.4677849683903315,0.4138195333181064,0.03,4.24,0.54,21.41
16,8.09,Cabral_Col8_Dil1_Light,0,Cabral,36.5,6/11/23,LIGHT,NP,0.4223267081871173,0.3859351802972409,0.03,4.24,0.54,21.41
18,8.06,Cabral_Col10_Dil1_Light,0,Cabral,36.3,6/12/23,LIGHT,NP,0.4680538287639433,0.4415526068673187,0.03,2.58,0.23,0.16
17,8.06,Cabral_Col9_Dil1_Light,0,Cabral,36.3,6/12/23,LIGHT,NP,0.4369254900860945,0.41071140514512594,0.03,2.58,0.23,0.16
1,8.06,Varari_Col1_Dil1_Light,0,Varari,37.3,6/17/23,LIGHT,NP,0.3695817933906963,0.27942996921407837,0.03,4.88,2.52,4.96
2,8.06,Varari_Col2_Dil1_Light,0,Varari,37.3,6/17/23,LIGHT,NP,0.5359267640765599,0.44738763156725225,0.03,4.88,2.52,4.96
3,8.06,Varari_Col3_Dil1_Light,0,Varari,37.3,6/17/23,LIGHT,NP,0.5678873034540387,0.5118379767411307,0.03,4.88,2.52,4.96
4,8.09,Varari_Col4_Dil1_Light,0,Varari,36.4,6/18/23,LIGHT,NP,0.2835269637347547,0.2531739096433075,0.05,3.63,0.99,1.49
6,8.09,Varari_Col6_Dil1_Light,0,Varari,36.4,6/21/23,LIGHT,NP,0.7400282389870363,0.601528804378401,0.1,2.27,0.48,6.9
7,8.08,Varari_Col7_Dil1_Light,0,Varari,36.4,6/22/23,LIGHT,NP,0.5091736507777165,0.4614450073347366,0.03,2.45,0.6,4.44
8,8.08,Varari_Col8_Dil1_Light,0,Varari,36.4,6/22/23,LIGHT,NP,0.4290933869428805,0.39407425154225956,0.03,2.45,0.6,4.44
13,8.05,Cabral_Col5_Dil2_Light,0.01,Cabral,36.5,6/10/23,LIGHT,NP,0.3553606263066536,0.3146226782549535,0.05,3.49,1.04,0.57
14,8.05,Cabral_Col6_Dil2_Light,0.01,Cabral,36.5,6/10/23,LIGHT,NP,0.4832204609429711,0.4527824562862295,0.05,3.49,1.04,0.57
15,8.09,Cabral_Col7_Dil2_Light,0.01,Cabral,36.6,6/11/23,LIGHT,NP,0.3856687163038517,0.3514702588475429,0.03,3.04,1.02,17.21
16,8.09,Cabral_Col8_Dil2_Light,0.01,Cabral,36.6,6/11/23,LIGHT,NP,0.4136128752094841,0.3918394244445147,0.03,3.04,1.02,17.21
18,8.08,Cabral_Col10_Dil2_Light,0.01,Cabral,36.6,6/12/23,LIGHT,NP,0.4629407595705717,0.397618194858603,0.03,2.98,0.07,<0.02
17,8.08,Cabral_Col9_Dil2_Light,0.01,Cabral,36.6,6/12/23,LIGHT,NP,0.5657996700057396,0.4850468960010133,0.03,2.98,0.07,<0.02
1,8.09,Varari_Col1_Dil2_Light,0.01,Varari,37.4,6/17/23,LIGHT,NP,0.45151526963611366,0.40545351616791014,0.06,4.51,4.67,4.07
2,8.09,Varari_Col2_Dil2_Light,0.01,Varari,37.4,6/17/23,LIGHT,NP,0.47815683218934846,0.4268182993129015,0.06,4.51,4.67,4.07
3,8.09,Varari_Col3_Dil2_Light,0.01,Varari,37.4,6/17/23,LIGHT,NP,0.4731329832403995,0.4481419938208414,0.06,4.51,4.67,4.07
4,8.01,Varari_Col4_Dil2_Light,0.01,Varari,36.7,6/18/23,LIGHT,NP,0.288550064096281,0.2739386545839155,0.07,3.65,3.26,3.59
5,8.11,Varari_Col5_Dil2_Light,0.01,Varari,36.4,6/21/23,LIGHT,NP,0.31221954266549284,0.23921734796490454,0.04,1.78,0.52,1.77
6,8.11,Varari_Col6_Dil2_Light,0.01,Varari,36.4,6/21/23,LIGHT,NP,0.7052351937041381,0.6184888250845412,0.04,1.78,0.52,1.77
7,8.05,Varari_Col7_Dil2_Light,0.01,Varari,36.4,6/22/23,LIGHT,NP,0.5179364896284577,0.47362465428751666,0.06,2.55,0.72,1.64
8,8.05,Varari_Col8_Dil2_Light,0.01,Varari,36.4,6/22/23,LIGHT,NP,0.4172079194419686,0.37825956102078817,0.06,2.55,0.72,1.64
13,8.07,Cabral_Col5_Dil3_Light,0.03,Cabral,36.6,6/10/23,LIGHT,NP,0.34787668267882577,0.3266307471706389,0.04,4.11,0.28,0.7
14,8.07,Cabral_Col6_Dil3_Light,0.03,Cabral,36.6,6/10/23,LIGHT,NP,0.38707246254734967,0.3731873144269764,0.04,4.11,0.28,0.7
15,8.08,Cabral_Col7_Dil3_Light,0.03,Cabral,36.5,6/11/23,LIGHT,NP,0.40026442936179624,0.3772592791116982,0.04,5.16,1.78,2.98
16,8.08,Cabral_Col8_Dil3_Light,0.03,Cabral,36.5,6/11/23,LIGHT,NP,0.28290733416342867,0.26444950822349195,0.04,5.16,1.78,2.98
18,8.05,Cabral_Col10_Dil3_Light,0.03,Cabral,36.4,6/12/23,LIGHT,NP,0.2786782708616909,0.24937806511634086,0.07,3.15,0.8,6.67
17,8.05,Cabral_Col9_Dil3_Light,0.03,Cabral,36.4,6/12/23,LIGHT,NP,0.6388193761023545,0.5954924138675628,0.07,3.15,0.8,6.67
1,8.07,Varari_Col1_Dil3_Light,0.03,Varari,37.4,6/17/23,LIGHT,NP,0.2608255307266537,0.23553448145181646,0.07,4.53,3.03,4.95
2,8.07,Varari_Col2_Dil3_Light,0.03,Varari,37.4,6/17/23,LIGHT,NP,0.397421244553725,0.35327191662453505,0.07,4.53,3.03,4.95
3,8.07,Varari_Col3_Dil3_Light,0.03,Varari,37.4,6/17/23,LIGHT,NP,0.2646858497221476,0.22405260574387867,0.07,4.53,3.03,4.95
4,8.06,Varari_Col4_Dil3_Light,0.03,Varari,36.7,6/18/23,LIGHT,NP,0.12664821571651988,0.11680471361090373,0.03,3.14,2.63,0.52
5,8.12,Varari_Col5_Dil3_Light,0.03,Varari,36.3,6/21/23,LIGHT,NP,0.3315103344039255,0.29902751421505824,0.04,1.93,1.79,7.35
6,8.12,Varari_Col6_Dil3_Light,0.03,Varari,36.3,6/21/23,LIGHT,NP,0.49972425112959035,0.46598517699774694,0.04,1.93,1.79,7.35
7,8.1,Varari_Col7_Dil3_Light,0.03,Varari,36.4,6/22/23,LIGHT,NP,0.3112568607635486,0.2877897834562339,0.11,2.39,0.83,1.67
8,8.1,Varari_Col8_Dil3_Light,0.03,Varari,36.4,6/22/23,LIGHT,NP,0.3359869563498972,0.3193504993995217,0.11,2.39,0.83,1.67
13,8.06,Cabral_Col5_Dil4_Light,0.05,Cabral,36.5,6/10/23,LIGHT,NP,0.3435219797465797,0.32559350556955535,0.05,3.13,3.25,0.76
14,8.06,Cabral_Col6_Dil4_Light,0.05,Cabral,36.5,6/10/23,LIGHT,NP,0.4722832331559537,0.4439481222452819,0.05,3.13,3.25,0.76
15,8.06,Cabral_Col7_Dil4_Light,0.05,Cabral,36.5,6/11/23,LIGHT,NP,0.3289581921263592,0.30596673878145003,0.03,3.79,0.14,0.86
16,8.06,Cabral_Col8_Dil4_Light,0.05,Cabral,36.5,6/11/23,LIGHT,NP,0.45281368560213753,0.4367408526843369,0.03,3.79,0.14,0.86
18,8.09,Cabral_Col10_Dil4_Light,0.05,Cabral,36.6,6/12/23,LIGHT,NP,0.38032711607663877,0.3439905894141078,0.04,4.14,0.86,2.16
17,8.09,Cabral_Col9_Dil4_Light,0.05,Cabral,36.6,6/12/23,LIGHT,NP,0.6807445090637716,0.6121583681177822,0.04,4.14,0.86,2.16
1,8.06,Varari_Col1_Dil4_Light,0.05,Varari,37.3,6/17/23,LIGHT,NP,0.47753724661974467,0.45104662467103046,0.08,4.82,1.87,3.32
2,8.06,Varari_Col2_Dil4_Light,0.05,Varari,37.3,6/17/23,LIGHT,NP,0.690244194496623,0.6597191012086708,0.08,4.82,1.87,3.32
3,8.06,Varari_Col3_Dil4_Light,0.05,Varari,37.3,6/17/23,LIGHT,NP,0.3567552317457728,0.331427542629758,0.08,4.82,1.87,3.32
4,8.06,Varari_Col4_Dil4_Light,0.05,Varari,36.5,6/18/23,LIGHT,NP,Inf,Inf,0.06,2.89,1.63,0.79
5,8.11,Varari_Col5_Dil4_Light,0.05,Varari,36.3,6/21/23,LIGHT,NP,0.46909969416920394,0.3865724277534723,0.04,1.86,0.28,0.22
6,8.11,Varari_Col6_Dil4_Light,0.05,Varari,36.3,6/21/23,LIGHT,NP,0.9946501620279422,0.8914987135435447,0.04,1.86,0.28,0.22
7,8.1,Varari_Col7_Dil4_Light,0.05,Varari,36.4,6/22/23,LIGHT,NP,0.5190378575259456,0.47841415119810676,0.06,2.24,0.47,2.25
