new_colonynumber,pH,sample_ID,SGD_number,site,salinity,date,light_dark,P_R,umol.cm2.hr,umol.cm2.hr_uncorr,phosphate_umolL,silicate_umolL,NN_umolL,ammonia_umolL,TrisCalDate,SGD_dil,temp_C,new_pH,salinity_insitu,TA,salinity_insitu_initial,sample_ID_initial,SGD_number_initial,TA_initial
13,8.14,Cabral_Col5_Dil1_Light,0,Cabral,36.6,6/10/23,LIGHT,NP,0.3745038105991864,0.3136618814224997,0.05,3.38,0.16,0.52,6/14/23,1,27.11,7.966742367,NA,NA,NA,NA,NA,NA
14,8.14,Cabral_Col6_Dil1_Light,0,Cabral,36.6,6/10/23,LIGHT,NP,0.4719638975366522,0.39648680817551807,0.05,3.38,0.16,0.52,6/14/23,1,27.11,7.966742367,NA,NA,NA,NA,NA,NA
15,8.09,Cabral_Col7_Dil1_Light,0,Cabral,36.5,6/11/23,LIGHT,NP,0.4677849683903315,0.4138195333181064,0.03,4.24,0.54,21.41,6/14/23,1,27.436,8.012209319,NA,NA,NA,NA,NA,NA
16,8.09,Cabral_Col8_Dil1_Light,0,Cabral,36.5,6/11/23,LIGHT,NP,0.4223267081871173,0.3859351802972409,0.03,4.24,0.54,21.41,6/14/23,1,27.436,8.012209319,NA,NA,NA,NA,NA,NA
18,8.06,Cabral_Col10_Dil1_Light,0,Cabral,36.3,6/12/23,LIGHT,NP,0.4680538287639433,0.4415526068673187,0.03,2.58,0.23,0.16,6/14/23,1,28.172,7.976166127,NA,NA,NA,NA,NA,NA
17,8.06,Cabral_Col9_Dil1_Light,0,Cabral,36.3,6/12/23,LIGHT,NP,0.4369254900860945,0.41071140514512594,0.03,2.58,0.23,0.16,6/14/23,1,28.172,7.976166127,NA,NA,NA,NA,NA,NA
1,8.06,Varari_Col1_Dil1_Light,0,Varari,37.3,6/17/23,LIGHT,NP,0.3695817933906963,0.27942996921407837,0.03,4.88,2.52,4.96,6/14/23,1,27.714,7.994816177,NA,NA,NA,NA,NA,NA
2,8.06,Varari_Col2_Dil1_Light,0,Varari,37.3,6/17/23,LIGHT,NP,0.5359267640765599,0.44738763156725225,0.03,4.88,2.52,4.96,6/14/23,1,27.714,7.994816177,NA,NA,NA,NA,NA,NA
3,8.06,Varari_Col3_Dil1_Light,0,Varari,37.3,6/17/23,LIGHT,NP,0.5678873034540387,0.5118379767411307,0.03,4.88,2.52,4.96,6/14/23,1,27.714,7.994816177,NA,NA,NA,NA,NA,NA
4,8.09,Varari_Col4_Dil1_Light,0,Varari,36.4,6/18/23,LIGHT,NP,0.2835269637347547,0.2531739096433075,0.05,3.63,0.99,1.49,6/14/23,1,28.695,8.012340938,NA,NA,NA,NA,NA,NA
6,8.09,Varari_Col6_Dil1_Light,0,Varari,36.4,6/21/23,LIGHT,NP,0.7400282389870363,0.601528804378401,0.1,2.27,0.48,6.9,6/14/23,1,29.092,8.00330754,NA,NA,NA,NA,NA,NA
7,8.08,Varari_Col7_Dil1_Light,0,Varari,36.4,6/22/23,LIGHT,NP,0.5091736507777165,0.4614450073347366,0.03,2.45,0.6,4.44,6/14/23,1,28.503,8.003403586,NA,NA,NA,NA,NA,NA
8,8.08,Varari_Col8_Dil1_Light,0,Varari,36.4,6/22/23,LIGHT,NP,0.4290933869428805,0.3940742515422595,0.03,2.45,0.6,4.44,6/14/23,1,28.503,8.003403586,NA,NA,NA,NA,NA,NA
