Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
5044382,10/5/23 16:26:59,0.000,OXY_CH1 (PSt7-10),13/9/19 10:45:44,default,222.318,μmol/L,18.922,°C,987.000,hPa,Humid,35,0,,0,22.680,135516,254856.15,28.35,58.10,#N/A
5044385,10/5/23 16:27:01,0.025,OXY_CH1 (PSt7-10),13/9/19 10:45:44,default,222.301,μmol/L,18.916,°C,987.000,hPa,Humid,35,0,,0,22.683,135486,254815.96,28.35,58.10,#N/A
5044387,10/5/23 16:27:02,0.041,OXY_CH1 (PSt7-10),13/9/19 10:45:44,default,222.303,μmol/L,18.910,°C,987.000,hPa,Humid,35,0,,0,22.685,135464,254772.43,28.35,58.10,#N/A
5044389,10/5/23 16:27:03,0.058,OXY_CH1 (PSt7-10),13/9/19 10:45:44,default,222.361,μmol/L,18.904,°C,987.000,hPa,Humid,35,0,,0,22.684,135438,254742.58,28.35,58.10,#N/A
5044391,10/5/23 16:27:04,0.075,OXY_CH1 (PSt7-10),13/9/19 10:45:44,default,222.324,μmol/L,18.904,°C,987.000,hPa,Humid,35,0,,0,22.686,135433,254727.76,28.35,58.10,#N/A
5044392,10/5/23 16:27:05,0.091,OXY_CH1 (PSt7-10),13/9/19 10:45:44,default,222.305,μmol/L,18.904,°C,987.000,hPa,Humid,35,0,,0,22.687,135425,254714.75,28.35,58.10,#N/A
5044393,10/5/23 16:27:06,0.108,OXY_CH1 (PSt7-10),13/9/19 10:45:44,default,222.246,μmol/L,18.910,°C,987.000,hPa,Humid,35,0,,0,22.688,135419,254702.18,28.35,58.10,#N/A
5044394,10/5/23 16:27:07,0.124,OXY_CH1 (PSt7-10),13/9/19 10:45:44,default,222.286,μmol/L,18.904,°C,987.000,hPa,Humid,35,0,,0,22.688,135416,254694.10,28.35,58.10,#N/A
5044397,10/5/23 16:27:34,0.583,OXY_CH1 (PSt7-10),13/9/19 10:45:44,default,222.294,μmol/L,19.051,°C,987.000,hPa,Humid,35,0,,0,22.637,135073,254809.80,28.35,58.10,#N/A
5044401,10/5/23 16:27:36,0.608,OXY_CH1 (PSt7-10),13/9/19 10:45:44,default,222.340,μmol/L,19.026,°C,987.000,hPa,Humid,35,0,,0,22.643,135072,254760.53,28.35,58.10,#N/A
5044406,10/5/23 16:27:37,0.625,OXY_CH1 (PSt7-10),13/9/19 10:45:44,default,222.204,μmol/L,19.039,°C,987.000,hPa,Humid,35,0,,0,22.646,135064,254712.61,28.35,58.10,#N/A
5044409,10/5/23 16:27:38,0.641,OXY_CH1 (PSt7-10),13/9/19 10:45:44,default,222.374,μmol/L,19.039,°C,987.000,hPa,Humid,35,0,,0,22.637,134990,254683.83,28.35,58.10,#N/A
5044412,10/5/23 16:27:39,0.658,OXY_CH1 (PSt7-10),13/9/19 10:45:44,default,222.650,μmol/L,19.002,°C,987.000,hPa,Humid,35,0,,0,22.635,134973,254657.06,28.35,58.10,#N/A
5044416,10/5/23 16:27:40,0.675,OXY_CH1 (PSt7-10),13/9/19 10:45:44,default,222.753,μmol/L,18.977,°C,987.000,hPa,Humid,35,0,,0,22.638,134974,254650.93,28.35,58.10,#N/A
5044421,10/5/23 16:27:41,0.691,OXY_CH1 (PSt7-10),13/9/19 10:45:44,default,222.759,μmol/L,18.959,°C,987.000,hPa,Humid,35,0,,0,22.644,134977,254649.01,28.35,58.10,#N/A
