Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
5044378,10/5/23 16:26:55,0.000,OXY_CH2 (PSt7-10),13/9/19 10:45:52,default,213.663,μmol/L,20.000,°C,986.000,hPa,Humid,35,0,,0,22.737,107171,264040.80,28.35,65.20,#N/A
5044379,10/5/23 16:26:57,0.021,OXY_CH2 (PSt7-10),13/9/19 10:45:52,default,213.650,μmol/L,20.000,°C,987.000,hPa,Humid,35,0,,0,22.738,107060,263731.43,28.35,65.20,#N/A
5044380,10/5/23 16:26:58,0.038,OXY_CH2 (PSt7-10),13/9/19 10:45:52,default,213.627,μmol/L,20.000,°C,986.000,hPa,Humid,35,0,,0,22.739,106994,263598.38,28.35,65.20,#N/A
5044381,10/5/23 16:26:59,0.054,OXY_CH2 (PSt7-10),13/9/19 10:45:52,default,213.627,μmol/L,20.000,°C,986.000,hPa,Humid,35,0,,0,22.739,106962,263530.10,28.35,65.20,#N/A
5044383,10/5/23 16:27:00,0.071,OXY_CH2 (PSt7-10),13/9/19 10:45:52,default,213.668,μmol/L,20.000,°C,987.000,hPa,Humid,35,0,,0,22.737,106922,263459.48,28.35,65.20,#N/A
5044384,10/5/23 16:27:01,0.087,OXY_CH2 (PSt7-10),13/9/19 10:45:52,default,213.668,μmol/L,20.000,°C,987.000,hPa,Humid,35,0,,0,22.737,106906,263434.62,28.35,65.20,#N/A
5044386,10/5/23 16:27:02,0.104,OXY_CH2 (PSt7-10),13/9/19 10:45:52,default,213.663,μmol/L,20.000,°C,986.000,hPa,Humid,35,0,,0,22.737,106888,263406.76,28.35,65.20,#N/A
5044388,10/5/23 16:27:03,0.121,OXY_CH2 (PSt7-10),13/9/19 10:45:52,default,213.572,μmol/L,20.000,°C,986.000,hPa,Humid,35,0,,0,22.742,106892,263380.16,28.35,65.20,#N/A
5044390,10/5/23 16:27:04,0.138,OXY_CH2 (PSt7-10),13/9/19 10:45:52,default,213.572,μmol/L,20.000,°C,986.000,hPa,Humid,35,0,,0,22.742,106883,263360.30,28.35,65.20,#N/A
5044395,10/5/23 16:27:34,0.646,OXY_CH2 (PSt7-10),13/9/19 10:45:52,default,213.917,μmol/L,20.000,°C,986.000,hPa,Humid,35,0,,0,22.723,106709,263197.26,28.35,65.20,#N/A
5044399,10/5/23 16:27:36,0.671,OXY_CH2 (PSt7-10),13/9/19 10:45:52,default,213.954,μmol/L,20.000,°C,986.000,hPa,Humid,35,0,,0,22.721,106696,263174.60,28.35,65.20,#N/A
5044403,10/5/23 16:27:37,0.688,OXY_CH2 (PSt7-10),13/9/19 10:45:52,default,214.027,μmol/L,20.000,°C,986.000,hPa,Humid,35,0,,0,22.717,106678,263152.69,28.35,65.20,#N/A
5044407,10/5/23 16:27:38,0.705,OXY_CH2 (PSt7-10),13/9/19 10:45:52,default,213.972,μmol/L,20.000,°C,986.000,hPa,Humid,35,0,,0,22.720,106660,263144.43,28.35,65.20,#N/A
5044411,10/5/23 16:27:39,0.721,OXY_CH2 (PSt7-10),13/9/19 10:45:52,default,213.990,μmol/L,20.000,°C,986.000,hPa,Humid,35,0,,0,22.719,106657,263133.79,28.35,65.20,#N/A
