sample_ID,SGD_dil,weight_g,volume_mL,SA_cm2,,,,,,,,
Tr1_Blank_Dil1_Light,0.01,0,0,0,,,,,,,,
Tr1_Blank_Dil2_Light,0.03,0,0,0,,,,,,,,
Tr1_Blank_Dil3_Light,0.05,0,0,0,,,,,,,,
Tr1_Blank_Dil5_Light,0.1,0,0,0,,,,,,,,
Tr1_Blank_Dil6_Light,0.2,0,0,0,,,,,,,,
Tr1_Blank_Dil7_Light,0.3,0,0,0,,,,,,,,
Tr1_Blank_Dil8_Light,0.4,0,0,0,,,,,,,,
Tr1_Blank_Dil9_Light,0.5,0,0,0,,,,,,,,
Tr1_Blank_Dil1_Dark,0.01,0,0,0,,,,,,,,
Tr1_Blank_Dil2_Dark,0.03,0,0,0,,,,,,,,
Tr1_Blank_Dil3_Dark,0.05,0,0,0,,,,,,,,
Tr1_Blank_Dil5_Dark,0.1,0,0,0,,,,,,,,
Tr1_Blank_Dil6_Dark,0.2,0,0,0,,,,,,,,
Tr1_Blank_Dil7_Dark,0.3,0,0,0,,,,,,,,
Tr1_Blank_Dil8_Dark,0.4,0,0,0,,,,,,,,
Tr1_Blank_Dil9_Dark,0.5,0,0,0,,,,,,,,
Tr1_Blank_Dil10_Light,1,0,0,0,,,,,,,,
Tr1_Blank_Dil11_Light,1.5,0,0,0,,,,,,,,
Tr1_Blank_Dil12_Light,2,0,0,0,,,,,,,,
Tr1_Blank_Dil13_Light,2.5,0,0,0,,,,,,,,
Tr1_Blank_Dil14_Light,3,0,0,0,,,,,,,,
Tr1_Blank_Dil15_Light,3.5,0,0,0,,,,,,,,
Tr1_Blank_Dil16_Light,4,0,0,0,,,,,,,,
Tr1_Blank_Dil17_Light,5,0,0,0,,,,,,,,
Tr1_Blank_Dil10_Dark,1,0,0,0,,,,,,,,
Tr1_Blank_Dil11_Dark,1.5,0,0,0,,,,,,,,
Tr1_Blank_Dil12_Dark,2,0,0,0,,,,,,,,
Tr1_Blank_Dil13_Dark,2.5,0,0,0,,,,,,,,
Tr1_Blank_Dil14_Dark,3,0,0,0,,,,,,,,
Tr1_Blank_Dil15_Dark,3.5,0,0,0,,,,,,,,
Tr_Blank_Dil16_Dark,4,0,0,0,,,,,,,,
Tr1_Blank_Dil17_Dark,5,0,0,0,,,,,,,,
Tr1_Col1_Dil1_Light,0.01,23.3636,20,97.2692308,,,,,,,,
Tr1_Col1_Dil2_Light,0.03,31.9253,25,76.7451923,,,,,,,,
Tr1_Col1_Dil3_Light,0.05,28.5748,20,110.6298077,,,,,,,,
Tr1_Col1_Dil4_Light,0.07,31.4045,23,69.1490385,,,,,,,,
Tr1_Col1_Dil5_Light,0.1,22.4579,20,107.5192308,,,,,,,,
Tr1_Col1_Dil6_Light,0.2,19.2679,20,121.2644231,,,,,,,,
Tr1_Col1_Dil7_Light,0.3,25.9673,25,48.0192308,,,,,,,,
Tr1_Col1_Dil8_Light,0.4,33.2755,25,83.9951923,,,,,,,,
Tr1_Blank_Dil4_Light,0.07,0.0000,0,0,,,,,,,,
Tr1_Col1_Dil9_Light,0.5,22.1711,15,55.0288462,,,,,,,,
Tr1_Col1_Dil1_Dark,0.01,23.3636,20,97.2692308,,,,,,,,
Tr1_Col1_Dil2_Dark,0.03,31.9253,25,76.7451923,,,,,,,,
Tr1_Col1_Dil3_Dark,0.05,28.5748,20,110.6298077,,,,,,,,
Tr1_Col1_Dil4_Dark,0.07,31.4045,23,69.1490385,,,,,,,,
Tr1_Col1_Dil5_Dark,0.1,22.4579,20,107.5192308,,,,,,,,
Tr1_Col1_Dil6_Dark,0.2,19.2679,20,121.2644231,,,,,,,,
Tr1_Col1_Dil7_Dark,0.3,25.9673,25,48.0192308,,,,,,,,
Tr1_Col1_Dil8_Dark,0.4,33.2755,25,83.9951923,,,,,,,,
Tr1_Col1_Dil4_Dark,0.07,0.0000,0,69.1490385,,,,,,,,
Tr1_Col1_Dil9_Dark,0.5,22.1711,15,83.9951923,,,,,,,,
Tr1_Col1_Dil10_Light,1,22.8304,15,80.2740385,,,,,,,,
Tr_Col1_Dil11_Light,1.5,27.7783,20,81.0288462,,,,,,,,
Tr1_Col1_Dil12_Light,2,26.5770,25,82.1826923,,,,,,,,
Tr1_Col1_Dil13_Light,2.5,42.8631,25,66.125,,,,,,,,
Tr1_Col1_Dil14_Light,3,18.4760,12,63.8557692,,,,,,,,
Tr1_Col1_Dil15_Light,3.5,30.1118,13,99.9903846,,,,,,,,
Tr1_Col1_Dil16_Light,4,31.2756,25,58.3605769,,,,,,,,
Tr1_Col1_Dil17_Light,5,28.9260,25,48.4567308,,,,,,,,
Tr1_Col1_Dil10_Dark,1,22.8304,15,80.2740385,,,,,,,,
Tr1_Col1_Dil11_Dark,1.5,27.7783,20,81.0288462,,,,,,,,
Tr1_Col1_Dil12_Dark,2,26.5770,25,82.1826923,,,,,,,,
Tr1_Col1_Dil13_Dark,2.5,42.8631,25,66.125,,,,,,,,
Tr1_Col1_Dil14_Dark,3,18.4760,12,63.8557692,,,,,,,,
Tr1_Col1_Dil15_Dark,3.5,30.1118,13,99.9903846,,,,,,,,
Tr1_Col1_Dil16_Dark,4,31.2756,25,58.3605769,,,,,,,,
Tr1_Col1_Dil17_Dark,5,28.9260,25,48.4567308,,,,,,,,
Tr2_Blank_Dil1_Light,0.01,0,0,0,,,,,,,,
Tr2_Blank_Dil2_Light,0.03,0,0,0,,,,,,,,
Tr2_Blank_Dil3_Light,0.05,0,0,0,,,,,,,,
Tr2_Blank_Dil4_Light,0.07,0,0,0,,,,,,,,
Tr2_Blank_Dil5_Light,0.1,0,0,0,,,,,,,,
Tr2_Blank_Dil6_Light,0.2,0,0,0,,,,,,,,
Tr2_Blank_Dil7_Light,0.3,0,0,0,,,,,,,,
Tr2_Blank_Dil8_Light,0.4,0,0,0,,,,,,,,
Tr2_Blank_Dil9_Light,0.5,0,0,0,,,,,,,,
Tr2_Blank_Dil1_Dark,0.01,0,0,0,,,,,,,,
Tr2_Blank_Dil2_Dark,0.03,0,0,0,,,,,,,,
Tr2_Blank_Dil3_Dark,0.05,0,0,0,,,,,,,,
Tr2_Blank_Dil4_Dark,0.07,0,0,0,,,,,,,,
Tr2_Blank_Dil5_Dark,0.1,0,0,0,,,,,,,,
Tr2_Blank_Dil6_Dark,0.2,0,0,0,,,,,,,,
Tr2_Blank_Dil7_Dark,0.3,0,0,0,,,,,,,,
Tr2_Blank_Dil8_Dark,0.4,0,0,0,,,,,,,,
Tr2_Blank_Dil9_Dark,0.5,0,0,0,,,,,,,,
Tr2_Blank_Dil10_Light,1,0,0,0,,,,,,,,
