new_colonynumber,new_pH,SGD_number,site,salinity,date,light_dark,P_R,umol.cm2.hr,umol.cm2.hr_uncorr
13,7.9667423667133095,0,Cabral,36.6,6/10/23,LIGHT,NP,0.003901081360408192,0.003267311264817705
14,7.9667423667133095,0,Cabral,36.6,6/10/23,LIGHT,NP,0.004916290599340127,0.00413007091849498
15,8.01220931912775,0,Cabral,36.5,6/11/23,LIGHT,NP,0.004872760087399286,0.004310620138730275
16,8.01220931912775,0,Cabral,36.5,6/11/23,LIGHT,NP,0.004399236392714777,0.004020157990198243
18,7.976166126704488,0,Cabral,36.3,6/12/23,LIGHT,NP,0.004875560801738222,0.004599506402143695
17,7.976166126704488,0,Cabral,36.3,6/12/23,LIGHT,NP,0.004551307425097338,0.004278244026094333
19,7.978374413609991,0,Cabral,37.1,6/13/23,LIGHT,NP,8.843847854795209e-4,0.0033833669657737796
1,7.994816176786985,0,Varari,37.3,6/17/23,LIGHT,NP,0.0038498103478197534,0.002910728845979983
2,7.994816176786985,0,Varari,37.3,6/17/23,LIGHT,NP,0.005582570624708971,0.00466028796704893
3,7.994816176786985,0,Varari,37.3,6/17/23,LIGHT,NP,0.005915493077521436,0.0053316458913749715
4,8.012340938396102,0,Varari,36.4,6/18/23,LIGHT,NP,0.0029534057251413273,0.002637228094102788
6,8.003307540025963,0,Varari,36.4,6/21/23,LIGHT,NP,0.007708627667181619,0.0062659251900781185
7,8.003403585971883,0,Varari,36.4,6/22/23,LIGHT,NP,0.0053038921956012125,0.004806718826403506
8,8.003403585971883,0,Varari,36.4,6/22/23,LIGHT,NP,0.0044697230009401265,0.004104940322539099
13,7.969949565756469,0.01,Cabral,36.5,6/10/23,LIGHT,NP,0.003701673190694309,0.0032773195651557654
14,7.969949565756469,0.01,Cabral,36.5,6/10/23,LIGHT,NP,0.005033546374514017,0.004716483831904787
15,8.008691363505978,0.01,Cabral,36.6,6/11/23,LIGHT,NP,0.0040173825562550254,0.003661148616016113
16,8.008691363505978,0.01,Cabral,36.6,6/11/23,LIGHT,NP,0.004308467644201226,0.004081660855181501
18,7.991198618975937,0.01,Cabral,36.6,6/12/23,LIGHT,NP,0.004822299688108679,0.004141856290276984
17,7.991198618975937,0.01,Cabral,36.6,6/12/23,LIGHT,NP,0.005893746892683874,0.005052572116351588
19,7.989464093517257,0.01,Cabral,37.2,6/13/23,LIGHT,NP,0.00252021335923738,0.003757967395527562
1,8.021108643952369,0.01,Varari,37.4,6/17/23,LIGHT,NP,0.0047032839493069654,0.004223474028507316
2,8.021108643952369,0.01,Varari,37.4,6/17/23,LIGHT,NP,0.0049808004644360795,0.004446024066442011
3,8.021108643952369,0.01,Varari,37.4,6/17/23,LIGHT,NP,0.004928468575420828,0.004668145768967098
4,7.926842748662408,0.01,Varari,36.7,6/18/23,LIGHT,NP,0.0030057299306255328,0.0028535277433292257
5,8.025282823190116,0.01,Varari,36.4,6/21/23,LIGHT,NP,0.003252286639355829,0.002491847172814336
6,8.025282823190116,0.01,Varari,36.4,6/21/23,LIGHT,NP,0.007346199227415405,0.006442591307925048
7,7.981415001385061,0.01,Varari,36.4,6/22/23,LIGHT,NP,0.005395171495976605,0.0049335899010259365
8,7.981415001385061,0.01,Varari,36.4,6/22/23,LIGHT,NP,0.00434591589147512,0.003940203818617354
13,7.998755981544369,0.03,Cabral,36.6,6/10/23,LIGHT,NP,0.0036237156200802497,0.0034024037811510683
14,7.998755981544369,0.03,Cabral,36.6,6/10/23,LIGHT,NP,0.004032004754388237,0.0038873677970901414
15,8.000333893474183,0.03,Cabral,36.5,6/11/23,LIGHT,NP,0.004169420956065042,0.003929783984818008
16,8.000333893474183,0.03,Cabral,36.5,6/11/23,LIGHT,NP,0.0029469513975357155,0.0027546823773280413
18,7.963168174882106,0.03,Cabral,36.4,6/12/23,LIGHT,NP,0.002902898715282399,0.002597688232410198
17,7.963168174882106,0.03,Cabral,36.4,6/12/23,LIGHT,NP,0.00665436829607987,0.006203045786703678
19,7.99844433672177,0.03,Cabral,37.1,6/13/23,LIGHT,NP,8.461604640185167e-5,0.002615125062512015
1,8.00202544548121,0.03,Varari,37.4,6/17/23,LIGHT,NP,0.002716932749280421,0.002453484305997149
2,8.00202544548121,0.03,Varari,37.4,6/17/23,LIGHT,NP,0.004139804996616487,0.0036799161233788285
3,8.00202544548121,0.03,Varari,37.4,6/17/23,LIGHT,NP,0.0027571443426900465,0.0023338813731076788
4,7.974131192679519,0.03,Varari,36.7,6/18/23,LIGHT,NP,0.0013192522818157133,0.0012167157988465498
5,8.03279130797893,0.03,Varari,36.3,6/21/23,LIGHT,NP,0.0034532327329952076,0.003114870014566283
6,8.03279130797893,0.03,Varari,36.3,6/21/23,LIGHT,NP,0.005205461338915105,0.004854012623734466
7,8.023610540861927,0.03,Varari,36.4,6/22/23,LIGHT,NP,0.003242259059246633,0.0029978103302867845
8,8.023610540861927,0.03,Varari,36.4,6/22/23,LIGHT,NP,0.003499864093075908,0.003326567668270695
13,7.98502490194677,0.05,Cabral,36.5,6/10/23,LIGHT,NP,0.0035783539556935385,0.0033915990163495354
14,7.98502490194677,0.05,Cabral,36.5,6/10/23,LIGHT,NP,0.004919616743987814,0.0046244593547504495
15,7.977017857607548,0.05,Cabral,36.5,6/11/23,LIGHT,NP,0.00342664771165156,0.003187153414571965
16,7.977017857607548,0.05,Cabral,36.5,6/11/23,LIGHT,NP,0.004716809165842538,0.004549383825049393
18,8.002864299366278,0.05,Cabral,36.6,6/12/23,LIGHT,NP,0.0039617408589057955,0.0035832353664899965
17,8.002864299366278,0.05,Cabral,36.6,6/12/23,LIGHT,NP,0.00709108841161282,0.0063766494660409696
19,8.014082134515686,0.05,Cabral,37.1,6/13/23,LIGHT,NP,0.0017511331467412765,0.002862403211493559
1,7.988632309523738,0.05,Varari,37.3,6/17/23,LIGHT,NP,0.004974346498312385,0.004698402509730417
2,7.988632309523738,0.05,Varari,37.3,6/17/23,LIGHT,NP,0.007190043991402575,0.006872074256442178
3,7.988632309523738,0.05,Varari,37.3,6/17/23,LIGHT,NP,0.0037162003947402967,0.0034523702952342396
4,NA,0.05,Varari,36.5,6/18/23,LIGHT,NP,NA,NA
5,8.024526644488331,0.05,Varari,36.3,6/21/23,LIGHT,NP,0.004886455494845629,0.0040267964085911765
6,8.024526644488331,0.05,Varari,36.3,6/21/23,LIGHT,NP,0.010360939801318182,0.009286445482645771
7,8.029750313035391,0.05,Varari,36.4,6/22/23,LIGHT,NP,0.005406644430934678,0.004983480816958107
8,8.029750313035391,0.05,Varari,36.4,6/22/23,LIGHT,NP,0.004820010176323228,0.004399941284759125
13,7.995809964500741,0.1,Cabral,36.5,6/10/23,LIGHT,NP,0.004405850378409567,0.004193338711433518
14,7.995809964500741,0.1,Cabral,36.5,6/10/23,LIGHT,NP,0.004955866924132966,0.00483961629360492
15,7.973796473145285,0.1,Cabral,36.5,6/11/23,LIGHT,NP,0.004763377076588411,0.00459762358505345
16,7.973796473145285,0.1,Cabral,36.5,6/11/23,LIGHT,NP,0.0038380902402730837,0.00364311918412857
18,8.00701502282319,0.1,Cabral,36.4,6/12/23,LIGHT,NP,0.005451404525594364,0.005112611691999117
17,8.00701502282319,0.1,Cabral,36.4,6/12/23,LIGHT,NP,0.004923399563696524,0.00462521047298981
19,7.969552606728934,0.1,Cabral,37.1,6/13/23,LIGHT,NP,0.0012301637946070323,0.003118392299834996
1,7.996704635793248,0.1,Varari,37.3,6/17/23,LIGHT,NP,0.004567065275756062,0.004274898899505143
2,7.996704635793248,0.1,Varari,37.3,6/17/23,LIGHT,NP,0.0072745093355877696,0.0068090804646226515
3,7.996704635793248,0.1,Varari,37.3,6/17/23,LIGHT,NP,0.005737575144992809,0.005489091402800633
4,7.983888717167578,0.1,Varari,36.6,6/18/23,LIGHT,NP,0.002355817409120266,0.0022074532949676747
5,8.028865455729898,0.1,Varari,36.3,6/21/23,LIGHT,NP,0.00266849363727032,0.0020835382803921975
6,8.028865455729898,0.1,Varari,36.3,6/21/23,LIGHT,NP,0.006518623279925093,0.006115722969166916
7,8.036250693667167,0.1,Varari,36.5,6/22/23,LIGHT,NP,0.004663021311892695,0.0043855314926980905
8,8.036250693667167,0.1,Varari,36.5,6/22/23,LIGHT,NP,0.0033179887407632632,0.003067336408652987
13,7.992232149251834,0.5,Cabral,36.4,6/10/23,LIGHT,NP,0.004143477315958118,0.0038658207900897205
14,7.992232149251834,0.5,Cabral,36.4,6/10/23,LIGHT,NP,0.0028497675489736777,0.0027451923576790856
15,8.0099028783876,0.5,Cabral,36.3,6/11/23,LIGHT,NP,0.0027650253679088743,0.002559050171597899
16,8.0099028783876,0.5,Cabral,36.3,6/11/23,LIGHT,NP,0.0029352907735462294,0.00274528985384698
18,7.9775039029705335,0.5,Cabral,36.3,6/12/23,LIGHT,NP,0.003320224016837286,0.0031790530060205845
17,7.9775039029705335,0.5,Cabral,36.3,6/12/23,LIGHT,NP,0.004244483706289103,0.0040882815100283494
19,8.010428528647465,0.5,Cabral,36.8,6/13/23,LIGHT,NP,0.0016302744093078226,0.0028329966822811894
1,7.996255731191623,0.5,Varari,37.1,6/17/23,LIGHT,NP,0.0030732047733156706,0.002746691071634968
2,7.996255731191623,0.5,Varari,37.1,6/17/23,LIGHT,NP,0.004477072735207094,0.004232650274026837
