date,site,SGD_number,umol.cm2.hr,new_colonynumber,P_R,phosphate_umolL,silicate_umolL,NN_umolL,ammonia_umolL,new_pH
6/10/23,Cabral,0,0.099322511,13,NEC,0.05,3.38,0.16,0.52,7.966742367
,,,,,,0.05,3.49,1.04,0.57,7.969949566
,,,,,,0.04,4.11,0.28,0.7,7.998755982
6/10/23,Cabral,0.01,-0.047428424,13,NEC,0.05,3.13,3.25,0.76,7.985024902
,,,,,,0.06,5.23,0.17,0.43,7.995809965
,,,,,,0.13,6.59,0.4,2,7.992232149
6/10/23,Cabral,0.03,0.125956967,13,NEC,0.09,8.39,0.06,0.31,7.983581663
,,,,,,0.09,15.42,0.24,0.88,7.998371579
,,,,,,0.12,24.72,0.04,0.39,7.99836625
6/10/23,Cabral,0.05,0.108260455,13,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/10/23,Cabral,0.1,0.142349459,13,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/10/23,Cabral,0.5,0.262737013,13,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/10/23,Cabral,1,0.104390025,13,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/10/23,Cabral,2,0.203298169,13,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/10/23,Cabral,4,0.276398977,13,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/10/23,Cabral,0,0.001337648,14,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/10/23,Cabral,0.01,0.103283668,14,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/10/23,Cabral,0.03,0.021717276,14,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/10/23,Cabral,0.05,0.159530387,14,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/10/23,Cabral,0.1,0.104727012,14,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/10/23,Cabral,0.5,0.072638829,14,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/10/23,Cabral,1,0.118669278,14,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/10/23,Cabral,2,0.224778909,14,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/10/23,Cabral,4,0.095335032,14,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/11/23,Cabral,0,0.196333252,15,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/11/23,Cabral,0.01,0.103977232,15,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/11/23,Cabral,0.03,-0.007388004,15,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/11/23,Cabral,0.05,0.061105245,15,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/11/23,Cabral,0.1,0.03931042,15,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/11/23,Cabral,0.5,0.123112664,15,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/11/23,Cabral,1,0.008019041,15,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/11/23,Cabral,2,Inf,15,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/11/23,Cabral,4,0.027124896,15,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/11/23,Cabral,0,0.071877021,16,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/11/23,Cabral,0.01,0.041940114,16,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/11/23,Cabral,0.03,-0.012577019,16,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/11/23,Cabral,0.05,0.023484208,16,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/11/23,Cabral,0.1,-0.005179938,16,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/11/23,Cabral,0.5,0.021554195,16,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/11/23,Cabral,1,0.078066205,16,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/11/23,Cabral,2,0.01966222,16,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/11/23,Cabral,4,-0.10667691,16,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/12/23,Cabral,0,0.073276129,17,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/12/23,Cabral,0.01,0.361365325,17,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/12/23,Cabral,0.03,0.170277783,17,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/12/23,Cabral,0.05,0.207915505,17,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/12/23,Cabral,0.1,-0.009713926,17,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/12/23,Cabral,0.5,0.069895802,17,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/12/23,Cabral,1,0.220310815,17,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/12/23,Cabral,2,0.024434754,17,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/12/23,Cabral,4,0.053107698,17,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/12/23,Cabral,0,0.053182951,18,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/12/23,Cabral,0.01,0.150011419,18,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/12/23,Cabral,0.03,0.016073582,18,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/12/23,Cabral,0.05,0.042462291,18,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/12/23,Cabral,0.1,0.03836009,18,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/12/23,Cabral,0.5,0.017101181,18,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/12/23,Cabral,1,0.06041939,18,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/12/23,Cabral,2,-0.065362929,18,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/12/23,Cabral,4,0.025775953,18,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/13/23,Cabral,0,0.060968695,19,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/13/23,Cabral,0.01,-0.055484309,19,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/13/23,Cabral,0.03,-0.010438204,19,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/13/23,Cabral,0.05,0.089474655,19,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/13/23,Cabral,0.1,-0.054417236,19,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/13/23,Cabral,0.5,-0.042823667,19,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/13/23,Cabral,1,0.03622346,19,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/13/23,Cabral,2,-0.127485895,19,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/13/23,Cabral,4,0.011106814,19,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/13/23,Cabral,0,-0.074729862,20,NEC,,,,,
,,,,,,,,,,
,,,,,,,,,,
6/13/23,Cabral,0.01,0.034348464,20,NEC,,,,,
