date,temp_C,salinity_insitu,sample_ID,SGD_number,TA,site,new_colonynumber,salinity_insitu_initial,sample_ID_initial,SGD_number_initial,TA_initial,mean_blanks
6/22/23,27.611,35.2,Varari_Col8_Dil9_Light,4,2522.572069,Varari,8,35.2,Varari_Col8_Dil9_Dark,4,2469.40063,-80.2268409999997
6/22/23,27.54,36,Varari_Col8_Dil8_Light,2,2494.173175,Varari,8,36,Varari_Col8_Dil8_Dark,2,2412.850508,-78.89622300000019
6/22/23,27.83,36,Varari_Col8_Dil7_Light,1,2439.18948,Varari,8,36,Varari_Col8_Dil7_Dark,1,2390.881687,-53.563264999999774
6/22/23,27.767,36.3,Varari_Col8_Dil6_Light,0.5,2458.306838,Varari,8,36.3,Varari_Col8_Dil6_Dark,0.5,2379.650785,-62.067279000000326
6/22/23,27.629,36.5,Varari_Col8_Dil5_Light,0.1,2391.63833,Varari,8,36.5,Varari_Col8_Dil5_Dark,0.1,2354.608921,-57.987157000000025
6/22/23,27.717,36.4,Varari_Col8_Dil4_Light,0.05,2427.480024,Varari,8,36.4,Varari_Col8_Dil4_Dark,0.05,2344.51916,-86.05210100000022
6/22/23,28.492,36.4,Varari_Col8_Dil3_Light,0.03,2473.699538,Varari,8,36.4,Varari_Col8_Dil3_Dark,0.03,2359.780882,-84.92058799999995
6/22/23,27.7,36.4,Varari_Col8_Dil2_Light,0.01,2462.292011,Varari,8,36.4,Varari_Col8_Dil2_Dark,0.01,2376.059851,-74.62975499999993
6/22/23,28.503,36.4,Varari_Col8_Dil1_Light,0,2418.529218,Varari,8,36.4,Varari_Col8_Dil1_Dark,0,2368.214155,-63.03041799999983
6/22/23,27.611,35.2,Varari_Col7_Dil9_Light,4,2454.87643,Varari,7,35.2,Varari_Col7_Dil9_Dark,4,2469.40063,-80.2268409999997
6/22/23,27.54,36,Varari_Col7_Dil8_Light,2,2457.893535,Varari,7,36,Varari_Col7_Dil8_Dark,2,2412.850508,-78.89622300000019
6/22/23,27.83,36,Varari_Col7_Dil7_Light,1,2363.930584,Varari,7,36,Varari_Col7_Dil7_Dark,1,2390.881687,-53.563264999999774
6/22/23,27.767,36.3,Varari_Col7_Dil6_Light,0.5,2379.486858,Varari,7,36.3,Varari_Col7_Dil6_Dark,0.5,2379.650785,-62.067279000000326
6/22/23,27.629,36.5,Varari_Col7_Dil5_Light,0.1,2338.179983,Varari,7,36.5,Varari_Col7_Dil5_Dark,0.1,2354.608921,-57.987157000000025
6/22/23,27.717,36.4,Varari_Col7_Dil4_Light,0.05,2338.340876,Varari,7,36.4,Varari_Col7_Dil4_Dark,0.05,2344.51916,-86.05210100000022
6/22/23,28.492,36.4,Varari_Col7_Dil3_Light,0.03,2360.117012,Varari,7,36.4,Varari_Col7_Dil3_Dark,0.03,2359.780882,-84.92058799999995
6/22/23,27.7,36.4,Varari_Col7_Dil2_Light,0.01,2355.112621,Varari,7,36.4,Varari_Col7_Dil2_Dark,0.01,2376.059851,-74.62975499999993
6/22/23,28.503,36.4,Varari_Col7_Dil1_Light,0,2367.213829,Varari,7,36.4,Varari_Col7_Dil1_Dark,0,2368.214155,-63.03041799999983
6/21/23,29.067,35,Varari_Col6_Dil9_Light,4,2474.818821,Varari,6,35,Varari_Col6_Dil9_Dark,4,2473.296673,-23.866073000000142
6/21/23,28.909,35.9,Varari_Col6_Dil8_Light,2,2446.688983,Varari,6,35.9,Varari_Col6_Dil8_Dark,2,2429.451371,-49.14564799999971
6/21/23,29.13,36,Varari_Col6_Dil7_Light,1,2420.40668,Varari,6,36,Varari_Col6_Dil7_Dark,1,2407.472045,-54.04725099999996
6/21/23,29.155,36.2,Varari_Col6_Dil6_Light,0.5,2398.136344,Varari,6,36.2,Varari_Col6_Dil6_Dark,0.5,2391.440484,-29.410157999999683
6/21/23,29.156,36.3,Varari_Col6_Dil5_Light,0.1,2391.770222,Varari,6,36.3,Varari_Col6_Dil5_Dark,0.1,2388.441818,-34.51209200000039
6/21/23,29.11,36.3,Varari_Col6_Dil4_Light,0.05,2377.799281,Varari,6,36.3,Varari_Col6_Dil4_Dark,0.05,2364.629086,-51.518535000000156
6/21/23,29.115,36.3,Varari_Col6_Dil3_Light,0.03,2370.446021,Varari,6,36.3,Varari_Col6_Dil3_Dark,0.03,2367.39884,-36.44253300000037
6/21/23,29.187,36.4,Varari_Col6_Dil2_Light,0.01,2398.740895,Varari,6,36.4,Varari_Col6_Dil2_Dark,0.01,2384.387201,-36.0391410000002
6/21/23,29.092,36.4,Varari_Col6_Dil1_Light,0,2405.806718,Varari,6,36.4,Varari_Col6_Dil1_Dark,0,2377.32016,-57.911679999999706
6/21/23,29.067,35,Varari_Col5_Dil9_Light,4,2467.036635,Varari,5,35,Varari_Col5_Dil9_Dark,4,2473.296673,-23.866073000000142
6/21/23,28.909,35.9,Varari_Col5_Dil8_Light,2,2435.293737,Varari,5,35.9,Varari_Col5_Dil8_Dark,2,2429.451371,-49.14564799999971
6/21/23,29.13,36,Varari_Col5_Dil7_Light,1,2405.270071,Varari,5,36,Varari_Col5_Dil7_Dark,1,2407.472045,-54.04725099999996
6/21/23,29.155,36.2,Varari_Col5_Dil6_Light,0.5,2397.04368,Varari,5,36.2,Varari_Col5_Dil6_Dark,0.5,2391.440484,-29.410157999999683
6/21/23,29.156,36.3,Varari_Col5_Dil5_Light,0.1,2390.421068,Varari,5,36.3,Varari_Col5_Dil5_Dark,0.1,2388.441818,-34.51209200000039
6/21/23,29.11,36.3,Varari_Col5_Dil4_Light,0.05,2381.933793,Varari,5,36.3,Varari_Col5_Dil4_Dark,0.05,2364.629086,-51.518535000000156
6/21/23,29.115,36.3,Varari_Col5_Dil3_Light,0.03,2375.090281,Varari,5,36.3,Varari_Col5_Dil3_Dark,0.03,2367.39884,-36.44253300000037
6/21/23,29.187,36.4,Varari_Col5_Dil2_Light,0.01,2388.411553,Varari,5,36.4,Varari_Col5_Dil2_Dark,0.01,2384.387201,-36.0391410000002
6/21/23,29.092,36.4,Varari_Col5_Dil1_Light,0,2374.363769,Varari,5,36.4,Varari_Col5_Dil1_Dark,0,2377.32016,-57.911679999999706
