new_colonynumber,sample_ID,site,SGD_number,TA_initial,P_R,umol.cm2.hr
13,Cabral_Col5_Dil1_Light,Cabral,0,2376.083907,C,0.18477745852846633
13,Cabral_Col5_Dil2_Light,Cabral,0.01,2387.582754,C,-0.028596261448684452
13,Cabral_Col5_Dil3_Light,Cabral,0.03,2385.141998,C,0.14457607282693027
13,Cabral_Col5_Dil4_Light,Cabral,0.05,2416.980703,C,0.09637368760825318
13,Cabral_Col5_Dil5_Light,Cabral,0.1,2396.451536,C,0.09416769237819539
13,Cabral_Col5_Dil6_Light,Cabral,0.5,2401.021379,C,0.1506846355111427
13,Cabral_Col5_Dil7_Light,Cabral,1,2433.16241,C,0.02359708228924922
13,Cabral_Col5_Dil8_Light,Cabral,2,2427.573363,C,0.15024134308544165
13,Cabral_Col5_Dil9_Light,Cabral,4,2410.363767,C,0.22902967254708811
14,Cabral_Col6_Dil1_Light,Cabral,0,2376.083907,C,0.11389430408481976
14,Cabral_Col6_Dil2_Light,Cabral,0.01,2387.582754,C,0.11834183789372879
14,Cabral_Col6_Dil3_Light,Cabral,0.03,2385.141998,C,0.03457631001164584
14,Cabral_Col6_Dil4_Light,Cabral,0.05,2416.980703,C,0.13910541934125803
14,Cabral_Col6_Dil5_Light,Cabral,0.1,2396.451536,C,0.07718153434332707
14,Cabral_Col6_Dil6_Light,Cabral,0.5,2401.021379,C,0.028321200950360198
14,Cabral_Col6_Dil7_Light,Cabral,1,2433.16241,C,0.042935425071257305
14,Cabral_Col6_Dil8_Light,Cabral,2,2427.573363,C,0.13207890154369867
14,Cabral_Col6_Dil9_Light,Cabral,4,2410.363767,C,0.060467999768056585
15,Cabral_Col7_Dil1_Light,Cabral,0,2382.096706,C,0.33914194900026495
15,Cabral_Col7_Dil2_Light,Cabral,0.01,2381.684085,C,0.16385983419163858
15,Cabral_Col7_Dil3_Light,Cabral,0.03,2377.767651,C,0.06300702817001401
15,Cabral_Col7_Dil4_Light,Cabral,0.05,2372.216347,C,0.09509556389666769
15,Cabral_Col7_Dil5_Light,Cabral,0.1,2379.793461,C,0.09650289941030982
15,Cabral_Col7_Dil6_Light,Cabral,0.5,2369.619428,C,0.25113235591742905
15,Cabral_Col7_Dil7_Light,Cabral,1,2416.039082,C,0.1104814206427824
15,Cabral_Col7_Dil8_Light,Cabral,2,2378.953672,C,Inf
15,Cabral_Col7_Dil9_Light,Cabral,4,2380.96903,C,0.05559706130734448
16,Cabral_Col8_Dil1_Light,Cabral,0,2382.096706,C,0.15901723484583197
16,Cabral_Col8_Dil2_Light,Cabral,0.01,2381.684085,C,0.07627728226981137
16,Cabral_Col8_Dil3_Light,Cabral,0.03,2377.767651,C,0.03868977241674173
16,Cabral_Col8_Dil4_Light,Cabral,0.05,2372.216347,C,0.04501884653921913
16,Cabral_Col8_Dil5_Light,Cabral,0.1,2379.793461,C,0.05607606127256522
16,Cabral_Col8_Dil6_Light,Cabral,0.5,2369.619428,C,0.12907965341978042
16,Cabral_Col8_Dil7_Light,Cabral,1,2416.039082,C,0.15024626455678267
16,Cabral_Col8_Dil8_Light,Cabral,2,2378.953672,C,0.046417802002179966
16,Cabral_Col8_Dil9_Light,Cabral,4,2380.96903,C,-0.06829634267041808
