sample_ID,date ,light_dark,salinity_insitu,salinity_inlab,temp_C,TA,Sample_Type,pH_nonTris,new_colonynumber
Cabral_Col5_Dil1_Light,6/10/23,LIGHT,,,27.11,,,,13
Cabral_Col5_Dil2_Light,6/10/23,LIGHT,,,27.224,,,,13
Cabral_Col5_Dil3_Light,6/10/23,LIGHT,,,26.984,,,,13
Cabral_Col5_Dil4_Light,6/10/23,LIGHT,,,27.108,,,,13
Cabral_Col5_Dil5_Light,6/10/23,LIGHT,,,27.058,,,,13
Cabral_Col5_Dil6_Light,6/10/23,LIGHT,,,27.294,,,,13
Cabral_Col5_Dil7_Light,6/10/23,LIGHT,,,27.269,,,,13
Cabral_Col5_Dil8_Light,6/10/23,LIGHT,,,26.909,,,,13
Cabral_Col5_Dil9_Light,6/10/23,LIGHT,,,27.163,,,,13
Cabral_Col5_Dil1_pre,6/10/23,DARK,,,27.11,,,,13
Cabral_Col5_Dil2_pre,6/10/23,DARK,,,27.224,,,,13
Cabral_Col5_Dil3_pre,6/10/23,DARK,,,26.984,,,,13
Cabral_Col5_Dil4_pre,6/10/23,DARK,,,27.108,,,,13
Cabral_Col5_Dil5_pre,6/10/23,DARK,,,27.058,,,,13
Cabral_Col5_Dil6_pre,6/10/23,DARK,,,27.294,,,,13
Cabral_Col5_Dil7_pre,6/10/23,DARK,,,27.269,,,,13
Cabral_Col5_Dil8_pre,6/10/23,DARK,,,26.909,,,,13
Cabral_Col5_Dil9_pre,6/10/23,DARK,,,27.163,,,,13
Cabral_Col6_Dil1_Light,6/10/23,LIGHT,,,27.11,,,,14
Cabral_Col6_Dil2_Light,6/10/23,LIGHT,,,27.224,,,,14
Cabral_Col6_Dil3_Light,6/10/23,LIGHT,,,26.984,,,,14
Cabral_Col6_Dil4_Light,6/10/23,LIGHT,,,27.108,,,,14
Cabral_Col6_Dil5_Light,6/10/23,LIGHT,,,27.058,,,,14
Cabral_Col6_Dil6_Light,6/10/23,LIGHT,,,27.294,,,,14
Cabral_Col6_Dil7_Light,6/10/23,LIGHT,,,27.269,,,,14
Cabral_Col6_Dil8_Light,6/10/23,LIGHT,,,26.909,,,,14
