SampleID,TA,Mass,Sample.Index
Junk1,2310.921051,59.8045,1
Junk2,2297.053455,60.3469,2
postCabral_Col5_Dil1,2372.132104,60.0572,3
postCabral_Col6_Dil1,2400.146374,59.9834,4
postCabral_Blank_Dil1,2424.787647,60.1905,5
postCabral_Col5_Dil2,2401.373533,59.8558,6
postCabral_Col6_Dil2,2364.618326,60.1388,7
postCabral_Blank_Dil2,2395.421809,60.1631,8
postCabral_Col5_Dil3,2362.172576,60.3956,9
postCabral_Col6_Dil3,2382.397296,59.9816,10
postCabral_Blank_Dil3,2393.11067,59.9695,11
postCabral_Col5_Dil4,2361.937918,59.9069,12
postCabral_Col6_Dil4,2369.001411,59.9896,13
postCabral_Blank_Dil4,2406.089385,60.0946,14
postCabral_Col5_Dil5,2351.838941,60.3304,15
postCabral_Col6_Dil5,2342.277241,60.1698,16
postCabral_Blank_Dil5,2373.888162,60.3108,17
postCabral_Col5_Dil6,2340.395434,60.0429,18
postCabral_Col6_Dil6,2353.187015,59.7787,19
postCabral_Blank_Dil6,2364.770186,60.3401,20
postCabral_Col5_Dil7,2380.764249,59.7006,21
postCabral_Col6_Dil7,2374.480852,60.2267,22
postCabral_Blank_Dil7,2387.441125,59.9376,23
postCabral_Col5_Dil8,2343.77277,60.2079,24
postCabral_Col6_Dil8,2368.174013,60.198,25
postCabral_Blank_Dil8,2392.885578,60.0418,26
postCabral_Col5_Dil9,2357.879249,60.0067,27
postCabral_Col6_Dil9,2381.689204,60.2102,28
postCabral_Blank_Dil9,2395.006147,60.0992,29
