SampleID,TA,Mass,Sample.Index
junk1,2384.38753,60.4091,1
junk2,2404.402549,60.3841,2
postCabral_Col9_Dil1,2358.205389,60.2463,3
postCabral_Col10_Dil1,2362.981772,60.402,4
postCabral_Blank_Dil1,2390.789009,60.0798,5
postCabral_Col9_Dil2,2363.486669,60.1515,6
postCabral_Col10_Dil2,2392.314449,60.3096,7
postCabral_Blank_Dil2,2415.253229,60.2587,8
postCabral_Col9_Dil3,2363.234435,59.747,9
postCabral_Col10_Dil3,2408.60394,60.232,10
postCabral_Blank_Dil3,2454.707376,59.729,11
postCabral_Col9_Dil4,2363.771572,59.9506,12
postCabral_Col10_Dil4,2381.965281,59.8738,13
postCabral_Blank_Dil4,2411.69022,59.7327,14
postCabral_Col9_Dil5,2405.42999,59.8407,15
postCabral_Col10_Dil5,2391.804065,60.0044,16
postCabral_Blank_Dil5,2417.911065,59.9773,17
postCabral_Col9_Dil6,2351.136681,60.3177,18
postCabral_Col10_Dil6,2367.783342,60.3573,19
postCabral_Blank_Dil6,2378.442628,59.9141,20
postCabral_Col9_Dil7,2379.484557,60.413,21
postCabral_Col10_Dil7,2394.8548,60.0385,22
postCabral_Blank_Dil7,2450.621529,60.0009,23
postCabral_Col9_Dil8,2368.758982,60.1341,24
postCabral_Col10_Dil8,2393.560792,60.2432,25
postCabral_Blank_Dil8,2382.772327,59.7109,26
postCabral_Col9_Dil9,2376.244383,59.844,27
postCabral_Col10_Dil9,2381.338346,59.7087,28
postCabral_Blank_Dil9,2398.004813,60.2095,29
