SampleID,TA,Mass,Sample.Index,
Junk1,2463.63544,59.8921,1,
Junk2,2398.272873,60.2034,2,
PreC_Day1_rerun_Dil1rep1,2384.804379,60.231,3,
PreC_Day1_rerun_Dil1rep2,2369.855568,60.0513,4,2376.083907
PreC_Day1_rerun_Dil1rep3,2373.591774,60.2492,5,
PreC_Day1_rerun_Dil2rep1,2360.011885,60.2254,6,
PreC_Day1_rerun_Dil2rep2,2438.562375,60.1415,7,2387.582754
PreC_Day1_rerun_Dil2rep3,2364.174001,59.7725,8,
PreC_Day1_rerun_Dil3rep1,2356.528611,60.3549,9,
PreC_Day1_rerun_Dil3rep2,2439.314567,59.943,10,2385.141998
PreC_Day1_rerun_Dil3rep3,2359.582815,60.3665,11,
PreC_Day1_rerun_Dil4rep1,2444.93862,59.8555,12,
PreC_Day1_rerun_Dil4rep2,2445.961103,59.81,13,2416.980703
PreC_Day1_rerun_Dil4rep3,2360.042385,60.1319,14,
PreC_Day1_rerun_Dil5rep1,2420.007522,60.0414,15,
PreC_Day1_rerun_Dil5rep2,2351.809486,60.1528,16,2396.451536
PreC_Day1_rerun_Dil5rep3,2417.537599,60.2074,17,
PreC_Day1_rerun_Dil6rep1,2356.369334,60.078,18,
PreC_Day1_rerun_Dil6rep2,2421.879167,59.7996,19,2401.021379
PreC_Day1_rerun_Dil6rep3,2424.815637,59.709,20,
PreC_Day1_rerun_Dil7rep1,2433.128074,59.7108,21,
PreC_Day1_rerun_Dil7rep2,2434.260075,60.2517,22,2433.16241
PreC_Day1_rerun_Dil7rep3,2432.099081,59.7311,23,
PreC_Day1_rerun_Dil8rep1,2426.712855,59.7918,24,
PreC_Day1_rerun_Dil8rep2,2425.979738,59.9745,25,2427.573363
PreC_Day1_rerun_Dil8rep3,2430.027497,60.1477,26,
PreC_Day1_rerun_Dil9rep1,2430.867593,59.8778,27,
PreC_Day1_rerun_Dil9rep2,2367.259003,59.872,28,2410.363767
PreC_Day1_rerun_Dil9rep3,2432.964706,59.8221,29,
