Task,T5828
Scope 1/1, Sample 1/29 (Junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-32.3,21.9,NaN,,
0.0005,1,-32.5,21.9,0.0005,,
0.0025,2,-32.6,21.9,0.0020,,
0.0050,3,-32.5,21.9,0.0025,,
0.0090,4,-32.5,21.9,0.0035,,
0.0155,5,-32.6,21.9,0.0060,,
0.0235,6,-32.3,21.9,0.0080,,
0.0315,7,-32.0,21.9,0.0080,,
0.0395,8,-31.4,21.9,0.0080,,
0.0480,9,-30.5,21.9,0.0075,,
0.0565,10,-29.7,21.9,0.0075,,
0.0650,11,-28.5,21.9,0.0075,,
0.0725,12,-27.4,21.9,0.0075,,
0.0810,13,-26.2,21.9,0.0085,,
0.0895,14,-24.9,21.9,0.0085,,
0.0980,15,-23.4,21.9,0.0075,,
0.1065,16,-21.8,21.9,0.0075,,
0.1150,17,-20.3,21.9,0.0075,,
0.1225,18,-19.2,21.9,0.0075,,
0.1310,19,-17.9,21.9,0.0085,,
0.1390,20,-16.4,21.9,0.0075,,
0.1475,21,-14.8,21.9,0.0075,,
0.1560,22,-13.6,21.9,0.0075,,
0.1645,23,-12.4,21.9,0.0085,,
0.1720,24,-11.4,21.9,0.0075,,
0.1805,25,-10.1,21.9,0.0085,,
0.1890,26,-9.0,21.9,0.0075,,
0.1975,27,-8.0,21.9,0.0075,,
0.2060,28,-7.0,21.9,0.0075,,
0.2145,29,-6.2,21.9,0.0085,,
0.2220,30,-5.0,21.9,0.0075,,
0.2305,31,-3.8,21.9,0.0085,,
0.2385,32,-2.8,21.9,0.0075,,
0.2470,33,-1.7,21.9,0.0075,,
0.2555,34,-0.7,21.9,0.0075,,
0.2640,35,0.2,21.9,0.0075,,
0.2715,36,0.4,21.9,0.0075,,
0.2800,37,1.3,21.9,0.0085,,
0.2885,38,2.4,21.9,0.0075,,
0.2970,39,3.4,21.9,0.0075,,
0.3055,40,4.6,21.9,0.0075,,
0.3140,41,5.2,21.9,0.0085,,
0.3215,42,6.0,21.9,0.0075,,
0.3300,43,6.7,21.9,0.0085,,
0.3380,44,7.7,21.9,0.0075,,
0.3465,45,8.8,21.9,0.0075,,
0.3550,46,9.8,21.9,0.0075,,
0.3625,47,10.7,21.9,0.0075,,
0.3710,48,11.7,21.9,0.0085,,
0.3795,49,12.6,21.9,0.0085,,
0.3880,50,13.4,21.9,0.0075,,
0.3965,51,14.3,21.9,0.0075,,
0.4050,52,15.1,21.9,0.0075,,
0.4125,53,15.9,21.9,0.0075,,
0.4210,54,16.7,21.9,0.0085,,
0.4295,55,17.6,21.9,0.0085,,
0.4375,56,18.3,21.9,0.0075,,
0.4460,57,19.1,21.9,0.0075,,
0.4545,58,20.0,21.9,0.0075,,
0.4620,59,20.7,21.9,0.0075,,
0.4705,60,21.5,21.9,0.0085,,
0.4790,61,22.1,21.9,0.0075,,
0.4875,62,22.9,21.9,0.0075,,
0.4960,63,23.6,21.9,0.0075,,
0.5045,64,24.4,21.9,0.0085,,
0.5120,65,25.2,21.9,0.0075,,
0.5205,66,26.0,21.9,0.0085,,
0.5290,67,26.6,21.9,0.0075,,
0.5370,68,27.4,21.9,0.0075,,
0.5455,69,28.2,21.9,0.0075,,
0.5540,70,28.9,21.9,0.0085,,
0.5615,71,29.5,21.9,0.0075,,
0.5700,72,30.3,21.9,0.0085,,
0.5785,73,31.1,21.9,0.0075,,
0.5870,74,31.8,21.9,0.0075,,
0.5955,75,32.6,21.9,0.0075,,
0.6030,76,33.2,21.9,0.0075,,
0.6115,77,34.1,21.9,0.0085,,
0.6200,78,34.9,21.9,0.0085,,
0.6285,79,35.7,21.9,0.0075,,
0.6365,80,36.4,21.9,0.0075,,
0.6450,81,37.1,21.9,0.0075,,
0.6530,82,37.7,21.9,0.0080,,
0.6610,83,38.5,21.9,0.0080,,
0.6695,84,39.1,21.9,0.0075,,
0.6780,85,39.8,21.9,0.0075,,
0.6865,86,40.6,21.9,0.0075,,
0.6950,87,41.2,21.9,0.0085,,
0.7025,88,41.8,21.9,0.0075,,
0.7110,89,42.6,21.9,0.0085,,
0.7195,90,43.1,21.9,0.0075,,
0.7280,91,43.8,21.9,0.0075,,
0.7360,92,44.5,21.9,0.0075,,
0.7440,93,45.2,21.9,0.0080,,
0.7525,94,45.9,21.9,0.0085,,
0.7605,95,46.7,21.9,0.0080,,
0.7690,96,47.4,21.9,0.0075,,
0.7775,97,48.1,21.9,0.0075,,
0.7860,98,48.9,21.9,0.0075,,
0.7935,99,49.5,21.9,0.0075,,
0.8020,100,50.2,21.9,0.0085,,
0.8105,101,50.9,21.9,0.0075,,
0.8190,102,51.5,21.9,0.0075,,
0.8275,103,52.3,21.9,0.0075,,
0.8360,104,52.9,21.9,0.0085,,
0.8435,105,53.6,21.9,0.0075,,
0.8520,106,54.3,21.9,0.0085,,
0.8605,107,54.9,21.9,0.0075,,
0.8685,108,55.6,21.9,0.0075,,
0.8770,109,56.3,21.9,0.0075,,
0.8850,110,57.0,21.9,0.0080,,
0.8930,111,57.6,21.9,0.0080,,
0.9015,112,58.3,21.9,0.0085,,
0.9100,113,59.1,21.9,0.0075,,
0.9185,114,59.7,21.9,0.0075,,
0.9270,115,60.4,21.9,0.0075,,
0.9345,116,61.1,22.0,0.0075,,
0.9430,117,61.7,21.9,0.0085,,
0.9515,118,62.4,21.9,0.0085,,
0.9600,119,63.2,21.9,0.0075,,
0.9680,120,63.8,21.9,0.0075,,
0.9765,121,64.6,22.0,0.0075,,
0.9845,122,65.3,22.0,0.0080,,
0.9925,123,65.9,22.0,0.0080,,
1.0010,124,66.7,21.9,0.0075,,
1.0095,125,67.3,22.0,0.0075,,
1.0180,126,67.9,21.9,0.0075,,
1.0265,127,68.7,21.9,0.0085,,
1.0340,128,69.4,22.0,0.0075,,
1.0425,129,70.1,22.0,0.0085,,
1.0510,130,71.0,22.0,0.0075,,
1.0595,131,71.6,22.0,0.0075,,
1.0675,132,72.4,22.0,0.0075,,
1.0760,133,73.2,22.0,0.0085,,
1.0840,134,74.0,22.0,0.0080,,
1.0920,135,75.1,22.0,0.0080,,
1.1005,136,76.0,22.0,0.0075,,
1.1090,137,76.9,22.0,0.0075,,
1.1175,138,77.7,22.0,0.0075,,
1.1250,139,78.3,22.0,0.0075,,
1.1335,140,79.3,22.0,0.0085,,
1.1420,141,80.2,22.0,0.0085,,
1.1505,142,81.2,22.0,0.0075,,
1.1590,143,82.2,22.0,0.0075,,
1.1675,144,83.1,22.0,0.0075,,
1.1750,145,83.7,22.0,0.0075,,
1.1835,146,84.8,22.0,0.0085,,
1.1915,147,85.9,22.0,0.0080,,
1.2000,148,86.9,22.0,0.0075,,
1.2085,149,88.0,22.0,0.0075,,
1.2170,150,89.1,22.0,0.0075,,
1.2245,151,90.2,22.0,0.0075,,
1.2330,152,91.4,22.0,0.0085,,
1.2415,153,92.4,22.0,0.0075,,
1.2500,154,93.8,22.0,0.0075,,
1.2585,155,95.0,22.0,0.0075,,
1.2670,156,96.1,22.0,0.0075,,
1.2745,157,97.5,22.0,0.0075,,
1.2830,158,99.1,22.0,0.0085,,
1.2910,159,100.5,22.0,0.0075,,
1.2995,160,102.2,22.0,0.0075,,
1.3080,161,103.7,22.0,0.0075,,
1.3165,162,105.2,22.0,0.0085,,
1.3240,163,107.2,22.0,0.0075,,
1.3325,164,109.0,22.0,0.0085,,
1.3410,165,111.0,22.0,0.0085,,
1.3495,166,113.1,22.0,0.0075,,
1.3580,167,115.0,22.0,0.0075,,
1.3660,168,117.4,22.0,0.0080,,
1.3740,169,119.6,22.0,0.0080,,
1.3820,170,121.9,22.0,0.0080,,
1.3905,171,124.3,22.0,0.0075,,
1.3990,172,127.1,22.0,0.0075,,
1.4075,173,130.8,22.0,0.0075,,
1.4160,174,133.9,22.0,0.0085,,
1.4235,175,137.5,22.0,0.0075,,
1.4320,176,141.2,22.0,0.0085,,
1.4405,177,144.0,22.0,0.0075,,
1.4490,178,147.2,22.0,0.0075,,
1.4575,179,151.0,22.0,0.0075,,
1.4650,180,154.2,22.0,0.0075,,
1.4735,181,156.9,22.0,0.0085,,
1.4815,182,159.6,22.0,0.0080,,
1.4900,183,162.4,22.0,0.0075,,
1.4985,184,164.7,22.0,0.0075,,
1.5070,185,167.4,22.0,0.0075,,
1.5145,186,169.8,22.0,0.0075,,
1.5230,187,171.9,22.0,0.0085,,
1.5315,188,173.9,22.0,0.0085,,
1.5400,189,175.9,22.0,0.0075,,
1.5485,190,177.5,22.0,0.0075,,
1.5565,191,179.3,22.0,0.0075,,
1.5645,192,180.7,22.0,0.0080,,
1.5730,193,181.8,22.0,0.0085,,
1.5810,194,183.5,22.0,0.0080,,
1.5895,195,184.9,22.0,0.0075,,
1.5940,196,185.0,22.0,0.0075,,
1.5940,436,188.9,22.0,0.0000,,
1.5945,437,188.8,22.0,0.0010,,
1.5960,438,189.0,22.0,0.0025,,
1.5985,439,189.0,22.0,0.0035,,
1.6025,440,189.2,22.0,0.0055,,
1.6085,441,189.2,22.0,0.0085,,
1.6170,442,189.6,22.0,0.0140,,
1.6245,443,190.4,22.0,0.0125,,
1.6330,444,191.2,22.0,0.0140,,
1.6415,445,192.2,22.0,0.0120,,
1.6500,446,193.2,22.0,0.0120,,
1.6585,447,194.3,22.0,0.0120,,
1.6660,448,195.2,22.0,0.0125,,
1.6745,449,196.0,22.0,0.0140,,
1.6830,450,196.8,22.0,0.0140,,
1.6910,451,197.7,22.0,0.0115,,
1.6995,452,198.4,22.0,0.0120,,
1.7080,453,199.0,22.0,0.0120,,
1.7155,454,199.7,22.0,0.0125,,
1.7240,455,200.3,22.0,0.0140,,
1.7325,456,201.2,22.0,0.0120,,
1.7410,457,201.8,22.0,0.0120,,
1.7495,458,202.5,22.0,0.0120,,
1.7580,459,203.2,22.0,0.0140,,
1.7655,460,203.9,22.0,0.0125,,
1.7740,461,204.7,22.0,0.0140,,
1.7825,462,205.1,22.0,0.0120,,
1.7905,463,205.8,22.0,0.0115,,
1.7990,464,206.5,22.0,0.0120,,
1.8075,465,207.0,22.0,0.0120,,
1.8150,466,207.6,22.0,0.0125,,
1.8235,467,208.0,22.0,0.0140,,
1.8320,468,208.6,22.0,0.0120,,
1.8405,469,209.3,22.0,0.0120,,
1.8490,470,209.8,22.0,0.0120,,
1.8575,471,210.4,22.0,0.0140,,
1.8650,472,210.7,22.0,0.0125,,
1.8735,473,211.2,22.0,0.0140,,
1.8820,474,211.6,22.0,0.0120,,
1.8900,475,212.2,22.0,0.0115,,
1.8985,476,212.4,22.0,0.0120,,
1.9060,477,212.9,22.0,0.0125,,
1.9145,478,213.4,22.0,0.0140,,
1.9230,479,213.7,22.0,0.0140,,
1.9315,480,214.2,22.0,0.0120,,
1.9400,481,214.5,22.0,0.0120,,
1.9485,482,215.0,22.0,0.0120,,
1.9560,483,215.4,22.0,0.0125,,
1.9645,484,215.7,22.0,0.0140,,
1.9730,485,216.1,22.0,0.0140,,
1.9815,486,216.5,22.0,0.0120,,
1.9895,487,216.9,22.0,0.0115,,
1.9980,488,217.4,22.0,0.0120,,
2.0060,489,217.7,22.0,0.0135,,
2.0140,490,218.0,22.0,0.0135,,
2.0225,491,218.4,22.0,0.0140,,
2.0310,492,218.9,22.0,0.0120,,
2.0395,493,219.3,22.0,0.0120,,
2.0480,494,219.4,22.0,0.0120,,
2.0555,495,219.7,22.0,0.0125,,
2.0640,496,220.2,22.0,0.0140,,
2.0725,497,220.5,22.0,0.0120,,
2.0810,498,221.0,22.0,0.0120,,
2.0890,499,221.2,22.0,0.0115,,
2.0975,500,221.4,22.0,0.0140,,
2.1050,501,221.7,22.0,0.0125,,
2.1135,502,222.0,22.0,0.0140,,
2.1220,503,222.6,22.0,0.0120,,
2.1305,504,222.8,22.0,0.0120,,
2.1390,505,223.2,22.0,0.0120,,
2.1475,506,223.4,22.0,0.0140,,
2.1550,507,223.5,22.0,0.0125,,
2.1635,508,223.8,22.0,0.0140,,
2.1720,509,224.2,22.0,0.0120,,
2.1800,510,224.6,22.0,0.0115,,
2.1885,511,224.8,22.0,0.0120,,
2.1970,512,225.0,22.0,0.0140,,
2.2045,513,225.5,22.0,0.0125,,
2.2130,514,225.7,22.0,0.0140,,
2.2215,515,226.1,22.0,0.0120,,
2.2300,516,226.2,22.0,0.0120,,
2.2385,517,226.3,22.0,0.0120,,
2.2470,518,226.6,22.0,0.0120,,
2.2545,519,226.8,22.0,0.0125,,
2.2630,520,227.1,22.0,0.0140,,
2.2710,521,227.4,22.0,0.0115,,
2.2795,522,227.6,22.0,0.0120,,
2.2880,523,227.9,22.0,0.0120,,
2.2965,524,228.1,22.0,0.0120,,
2.3040,525,228.4,22.0,0.0125,,
2.3125,526,228.8,22.0,0.0140,,
2.3210,527,229.1,22.0,0.0140,,
2.3295,528,229.4,22.0,0.0120,,
2.3375,529,229.5,22.0,0.0115,,
2.3460,530,229.9,22.0,0.0120,,
2.3535,531,230.0,22.0,0.0125,,
2.3620,532,230.1,22.0,0.0140,,
2.3705,533,230.4,22.0,0.0140,,
2.3790,534,230.4,22.0,0.0120,,
2.3875,535,230.8,22.0,0.0120,,
2.3960,536,231.0,22.0,0.0120,,
2.4045,537,231.0,22.0,0.0140,,
2.4120,538,231.4,22.0,0.0125,,
2.4205,539,231.5,22.0,0.0140,,
2.4285,540,231.8,22.0,0.0115,,
2.4370,541,231.9,22.0,0.0120,,
2.4455,542,232.2,22.0,0.0120,,
2.4540,543,232.5,22.0,0.0120,,
2.4615,544,232.7,22.0,0.0125,,
2.4700,545,233.1,22.0,0.0140,,
2.4785,546,233.3,22.0,0.0140,,
2.4870,547,233.5,22.0,0.0120,,
2.4955,548,233.7,22.0,0.0120,,
2.5035,549,233.8,22.0,0.0115,,
2.5110,550,234.1,22.0,0.0125,,
2.5170,551,234.3,22.0,0.0100,,
2.5200,552,234.3,22.0,0.0050,,
2.5215,553,234.4,22.0,0.0020,,
2.5225,554,234.4,22.0,0.0015,,
2.5230,555,234.5,22.0,0.0005,,
2.5235,556,234.3,22.0,0.0010,,
2.5245,557,234.5,22.0,0.0015,,
2.5260,558,234.6,22.0,0.0025,,
2.5280,559,234.7,22.0,0.0030,,
2.5305,560,234.8,22.0,0.0035,,
2.5340,561,234.7,22.0,0.0060,,
2.5375,562,234.7,22.0,0.0060,,
2.5410,563,234.8,22.0,0.0060,,
2.5420,564,234.9,22.0,0.0015,,
2.5425,564,235.1,22.0,-0.0015,,
Scope 1/1, Sample 2/29 (Junk2)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-42.2,22.0,NaN,,
0.0005,1,-42.4,22.0,0.0005,,
0.0025,2,-42.4,22.0,0.0020,,
0.0050,3,-42.5,22.0,0.0025,,
0.0085,4,-42.5,22.0,0.0030,,
0.0150,5,-42.4,22.0,0.0060,,
0.0230,6,-42.2,22.0,0.0075,,
0.0305,7,-41.7,22.0,0.0075,,
0.0390,8,-41.0,22.0,0.0085,,
0.0475,9,-40.4,22.0,0.0085,,
0.0560,10,-39.5,22.0,0.0075,,
0.0645,11,-38.4,22.0,0.0075,,
0.0730,12,-37.2,22.0,0.0075,,
0.0805,13,-36.0,22.0,0.0075,,
0.0890,14,-34.5,22.0,0.0085,,
0.0970,15,-33.1,22.0,0.0080,,
0.1055,16,-31.7,22.0,0.0075,,
0.1140,17,-30.1,22.0,0.0075,,
0.1225,18,-28.4,22.0,0.0075,,
0.1310,19,-27.1,22.0,0.0085,,
0.1385,20,-25.6,22.0,0.0075,,
0.1470,21,-24.0,22.0,0.0085,,
0.1555,22,-22.6,22.0,0.0075,,
0.1640,23,-21.0,22.0,0.0075,,
0.1720,24,-19.6,22.0,0.0075,,
0.1800,25,-18.5,22.0,0.0080,,
0.1880,26,-17.1,22.0,0.0080,,
0.1965,27,-15.7,22.0,0.0085,,
0.2050,28,-14.4,22.0,0.0075,,
0.2135,29,-13.1,22.0,0.0075,,
0.2220,30,-11.9,22.0,0.0075,,
0.2295,31,-10.8,22.0,0.0075,,
0.2380,32,-9.5,22.0,0.0085,,
0.2465,33,-8.5,22.0,0.0085,,
