SampleID,TA,Mass,Sample.Index,Averages
junk1,2266.881757,59.9904,1,
junk2,2229.678561,60.1917,2,
preVarari_Dil1rep1_Day4,2365.812408,60.4291,3,
preVarari_Dil1rep2_Day4,2374.067682,59.6518,4,2368.214155
preVarari_Dil1rep3_Day4,2364.762376,60.2196,5,
preVarari_Dil2rep1_Day4,2384.465914,59.7946,6,
preVarari_Dil2rep2_Day4,2369.274271,59.8193,7,2376.059851
preVarari_Dil2rep3_Day4,2374.43937,59.6584,8,
preVarari_Dil3rep1_Day4,2355.166927,59.8903,9,
preVarari_Dil3rep2_Day4,2369.050884,60.2341,10,2359.780882
preVarari_Dil3rep3_Day4,2355.124834,59.9489,11,
preVarari_Dil4rep1_Day4,2352.878203,60.2583,12,
preVarari_Dil4rep2_Day4,2337.366072,59.8351,13,2344.51916
preVarari_Dil4rep3_Day4,2343.313204,60.0607,14,
preVarari_Dil5rep1_Day4,2360.748937,59.862,15,
preVarari_Dil5rep2_Day4,2353.137364,59.9962,16,2354.608921
preVarari_Dil5rep3_Day4,2349.940461,60.0414,17,
preVarari_Dil6rep1_Day4,2375.146737,59.5795,18,
preVarari_Dil6rep2_Day4,2385.180145,60.4192,19,2379.650785
preVarari_Dil6rep3_Day4,2378.625472,60.027,20,
preVarari_Dil7rep1_Day4,2390.32171,60.5019,21,
preVarari_Dil7rep2_Day4,2384.157408,60.4053,22,2390.881687
preVarari_Dil7rep3_Day4,2398.165943,60.2726,23,
preVarari_Dil8rep1_Day4,2408.767485,59.6964,24,
preVarari_Dil8rep2_Day4,2416.891802,60.4754,25,2412.850508
preVarari_Dil8rep3_Day4,2412.892236,60.4321,26,
preVarari_Dil9rep1_Day4,2484.076991,60.081,27,
preVarari_Dil9rep2_Day4,2461.32207,59.7051,28,2469.40063
preVarari_Dil9rep3_Day4,2462.802828,59.7457,29,
