Sample_ID,sample_info,titration_dayblock,titration_numberorder,salinity_psu_calibr0915,site,SGD_number,col_blank,pre_post,date
Junk1,seawater,1,1,,Varari,,blank,pre,6/17/23
Junk2,seawater ,1,2,,Varari,,blank ,pre,6/17/23
preVarari_Dil1rep1,VDay1_pre_dil1rep1_06172023,1,3,37.22,Varari,0,blank ,pre,6/17/23
preVarari_Dil1rep2,VDay1_pre_dil1rep2_06172023,1,4,37.31,Varari,0,blank ,pre,6/17/23
preVarari_Dil1rep3,VDay1_pre_dil1rep3_06172023,1,5,37.26,Varari,0,blank ,pre,6/17/23
preVarari_Dil2rep1,VDay1_pre_dil2rep1_06172023,1,6,37.39,Varari,0.01,blank ,pre,6/17/23
preVarari_Dil2rep2,VDay1_pre_dil2rep2_06172023,1,7,37.33,Varari,0.01,blank ,pre,6/17/23
preVarari_Dil2rep3,VDay1_pre_dil2rep3_06172023,1,8,37.3,Varari,0.01,blank ,pre,6/17/23
preVarari_Dil3rep1,VDay1_pre_dil3rep1_06172023,1,9,37.28,Varari,0.03,blank ,pre,6/17/23
preVarari_Dil3rep2,VDay1_pre_dil3rep2_06172023,1,10,37.3,Varari,0.03,blank ,pre,6/17/23
preVarari_Dil3rep3,VDay1_pre_dil3rep3_06172023,1,11,37.35,Varari,0.03,blank ,pre,6/17/23
preVarari_Dil4rep1,VDay1_pre_dil4rep1_06172023,1,12,37.33,Varari,0.05,blank ,pre,6/17/23
preVarari_Dil4rep2,VDay1_pre_dil4rep2_06172023,1,13,37.27,Varari,0.05,blank ,pre,6/17/23
preVarari_Dil4rep3,VDay1_pre_dil4rep3_06172023,1,14,37.26,Varari,0.05,blank ,pre,6/17/23
preVarari_Dil5rep1,VDay1_pre_dil5rep1_06172023,1,15,37.31,Varari,0.1,blank ,pre,6/17/23
preVarari_Dil5rep2,VDay1_pre_dil5rep2_06172023,1,16,37.31,Varari,0.1,blank ,pre,6/17/23
preVarari_Dil5rep3,VDay1_pre_dil5rep3_06172023,1,17,37.22,Varari,0.1,blank ,pre,6/17/23
preVarari_Dil6rep1,VDay1_pre_dil6rep1_06172023,1,18,37.11,Varari,0.5,blank ,pre,6/17/23
preVarari_Dil6rep2,VDay1_pre_dil6rep2_06172023,1,19,37.05,Varari,0.5,blank ,pre,6/17/23
preVarari_Dil6rep3,VDay1_pre_dil6rep3_06172023,1,20,37.11,Varari,0.5,blank ,pre,6/17/23
preVarari_Dil7rep1,VDay1_pre_dil7rep1_06172023,1,21,36.91,Varari,1,blank ,pre,6/17/23
preVarari_Dil7rep2,VDay1_pre_dil7rep2_06172023,1,22,36.93,Varari,1,blank ,pre,6/17/23
preVarari_Dil7rep3,VDay1_pre_dil7rep3_06172023,1,23,36.9,Varari,1,blank ,pre,6/17/23
preVarari_Dil8rep1,VDay1_pre_dil8rep1_06172023,1,24,36.72,Varari,2,blank ,pre,6/17/23
preVarari_Dil8rep2,VDay1_pre_dil8rep2_06172023,1,25,36.56,Varari,2,blank ,pre,6/17/23
preVarari_Dil8rep3,VDay1_pre_dil8rep3_06172023,1,26,36.54,Varari,2,blank ,pre,6/17/23
preVarari_Dil9rep1,VDay1_pre_dil9rep1_06172023,1,27,35.87,Varari,4,blank ,pre,6/17/23
preVarari_Dil9rep2,VDay1_pre_dil9rep2_06172023,1,28,35.9,Varari,4,blank ,pre,6/17/23
