Fragment_Type,Site ,Colony_Number ,Fragment_Number,Dilution_percentSGD,Person_Measuring,Weight_before_wax,Weight_after_wax
Post_exp,Cabral ,5,1,0,Hannah ,26.1804,27.9025
Post_exp,Cabral ,5,2,0.01,Hannah ,19.1802,20.4361
Post_exp,Cabral ,5,3,0.03,Hannah ,17.6857,18.9778
Post_exp,Cabral ,5,4,0.05,Hannah ,28.3623,31.1176
Post_exp,Cabral ,5,5,0.1,Hannah ,19.6728,21.0939
Post_exp,Cabral ,5,6,0.5,Hannah ,16.458,17.4307
Post_exp,Cabral ,5,7,1,Hannah ,24.5513,26.2665
Post_exp,Cabral ,5,8,2,Hannah ,24.3765,26.3626
Post_exp,Cabral ,5,9,4,Hannah ,15.7291,16.7008
Post_exp,Cabral ,6,1,0,Hannah ,33.1973,34.5798
Post_exp,Cabral ,6,2,0.01,Hannah ,20.026,21.7168
Post_exp,Cabral ,6,3,0.03,Hannah ,31.5235,33.5161
Post_exp,Cabral ,6,4,0.05,Hannah ,30.4114,32.144
Post_exp,Cabral ,6,5,0.1,Hannah ,43.4612,46.0833
Post_exp,Cabral ,6,6,0.5,Hannah ,31.6812,34.3123
Post_exp,Cabral ,6,7,1,Hannah ,34.0625,36.0092
Post_exp,Cabral ,6,8,2,Hannah ,21.1687,22.3758
Post_exp,Cabral ,6,9,4,Hannah ,27.1245,28.546
Post_exp,Cabral ,7,1,0,Hannah ,20.2984,21.5273
Post_exp,Cabral ,7,2,0.01,Hannah ,21.159,22.4864
Post_exp,Cabral ,7,3,0.03,Hannah ,23.9089,25.3368
Post_exp,Cabral ,7,4,0.05,Hannah ,26.81,28.5637
Post_exp,Cabral ,7,5,0.1,Hannah ,29.3809,31.5724
Post_exp,Cabral ,7,6,0.5,Hannah ,19.347,20.4417
Post_exp,Cabral ,7,7,1,Hannah ,19.8876,21.2429
Post_exp,Cabral ,7,8,2,Hannah ,24.2476,23.9792
Post_exp,Cabral ,7,9,4,Hannah ,23.3207,25.032
Post_exp,Cabral ,8,1,0,Hannah ,26.2037,28.0402
Post_exp,Cabral ,8,2,0.01,Hannah ,24.9439,27.0455
Post_exp,Cabral ,8,3,0.03,Hannah ,20.5479,22.3348
Post_exp,Cabral ,8,4,0.05,Hannah ,27.6969,30.2181
Post_exp,Cabral ,8,5,0.1,Hannah ,22.5343,24.393
Post_exp,Cabral ,8,6,0.5,Hannah ,16.7954,17.9846
Post_exp,Cabral ,8,7,1,Hannah ,25.7629,27.5093
Post_exp,Cabral ,8,8,2,Hannah ,29.0183,31.5868
Post_exp,Cabral ,8,9,4,Hannah ,16.4498,17.5999
Post_exp,Cabral ,9,1,0,Hannah ,28.822,30.6386
Post_exp,Cabral ,9,2,0.01,Hannah ,18.9872,20.1005
Post_exp,Cabral ,9,3,0.03,Hannah ,24.4498,26.4981
Post_exp,Cabral ,9,4,0.05,Hannah ,15.0271,16.0087
Post_exp,Cabral ,9,5,0.1,Hannah ,27.0149,28.9631
Post_exp,Cabral ,9,6,0.5,Hannah ,29.423,31.613
Post_exp,Cabral ,9,7,1,Hannah ,22.2288,23.3788
Post_exp,Cabral ,9,8,2,Hannah ,28.7351,30.5405
Post_exp,Cabral ,9,9,4,Hannah ,25.5787,27.0079
Post_exp,Cabral ,10,1,0,Hannah ,22.5718,24.3684
Post_exp,Cabral ,10,2,0.01,Hannah ,22.4575,23.8407
Post_exp,Cabral ,10,3,0.03,Hannah ,34.9232,37.9661
Post_exp,Cabral ,10,4,0.05,Hannah ,25.5783,27.4571
Post_exp,Cabral ,10,5,0.1,Hannah ,24.5449,26.2561
