Fragment_Type,Site ,Colony_Number ,Fragment_Number,Dilution_percentSGD,Person_Measuring,Weight_before_wax,Weight_after_wax
Post_exp,Cabral ,1,1,0.01,Hannah ,30.2500,32.2694
Post_exp,Cabral ,1,2,0.03,Hannah ,25.0966,26.6891
Post_exp,Cabral ,1,3,0.05,Hannah ,29.2070,31.5043
Post_exp,Cabral ,1,4,0.07,Hannah ,23.1429,24.5774
Post_exp,Cabral ,1,5,0.1,Hannah ,36.0037,38.2363
Post_exp,Cabral ,1,6,0.2,Hannah ,34.7961,37.3146
Post_exp,Cabral ,1,7,0.3,Hannah ,17.3764,18.3714
Post_exp,Cabral ,1,8,0.4,Hannah ,21.7099,23.4532
Post_exp,Cabral ,1,9,0.5,Hannah ,18.9418,20.0826
Post_exp,Cabral ,1,10,1,Hannah ,27.9680,29.6339
Post_exp,Cabral ,1,11,1.5,Hannah ,30.1163,31.7979
Post_exp,Cabral ,1,12,2,Hannah ,26.1574,27.8630
Post_exp,Cabral ,1,13,2.5,Hannah ,17.5801,18.9517
Post_exp,Cabral ,1,14,3,Hannah ,22.6237,23.9481
Post_exp,Cabral ,1,15,3.5,Hannah ,31.0848,33.1608
Post_exp,Cabral ,1,16,4,Hannah ,24.3390,25.5491
Post_exp,Cabral ,1,17,5,Hannah ,22.7382,23.7423
Post_exp,Cabral ,1,18,0,Hannah ,25.3680,27.2899
Post_exp,Cabral ,2,1,0.01,Hannah ,23.3636,24.7940
Post_exp,Cabral ,2,2,0.03,Hannah ,31.9253,33.8713
Post_exp,Cabral ,2,3,0.05,Hannah ,28.5748,30.7675
Post_exp,Cabral ,2,4,0.07,Hannah ,31.4045,33.3198
Post_exp,Cabral ,2,5,0.1,Hannah ,22.4579,23.9586
Post_exp,Cabral ,2,6,0.2,Hannah ,19.2679,20.4321
Post_exp,Cabral ,2,7,0.3,Hannah ,25.9673,27.5089
Post_exp,Cabral ,2,8,0.4,Hannah ,33.2755,35.2875
Post_exp,Cabral ,2,9,0.5,Hannah ,22.1711,23.4235
Post_exp,Cabral ,2,10,1,Hannah ,22.8304,24.3867
Post_exp,Cabral ,2,11,1.5,Hannah ,27.7783,29.3813
Post_exp,Cabral ,2,12,2,Hannah ,26.5770,28.5459
Post_exp,Cabral ,2,13,2.5,Hannah ,42.8631,45.8447
Post_exp,Cabral ,2,14,3,Hannah ,18.4760,19.3107
Post_exp,Cabral ,2,15,3.5,Hannah ,30.1118,32.0047
Post_exp,Cabral ,2,16,4,Hannah ,31.2756,33.6243
Post_exp,Cabral ,2,17,5,Hannah ,28.9260,30.7277
Post_exp,Cabral ,2,18,0,Hannah ,38.9030,42.2350
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
