Predictor_Variable,effect,group,term,estimate,std.error,statistic,df,p.value,nobs,sigma,logLik,AIC,BIC,REMLcrit,df.residual
phosphate_umolL,fixed,NA,(Intercept),0.7538460176629297,0.023038235327097974,32.72151738011995,3.618235571351306,1.3189263813219566e-5,53,0.11694001430392623,32.67878506026819,-55.35757012053638,-45.506110552775766,-65.35757012053638,48
phosphate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.1860982202758304,0.12914880253131014,-1.440959704064726,41.61394734174082,0.15707873624579785,53,0.11694001430392623,32.67878506026819,-55.35757012053638,-45.506110552775766,-65.35757012053638,48
phosphate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.14820863969083992,0.11792179587468005,1.2568383867588553,45.64791983625143,0.21520548997583888,53,0.11694001430392623,32.67878506026819,-55.35757012053638,-45.506110552775766,-65.35757012053638,48
phosphate_umolL,ran_pars,new_colonynumber,sd__(Intercept),0.04043396744350856,NA,NA,NA,NA,53,0.11694001430392623,32.67878506026819,-55.35757012053638,-45.506110552775766,-65.35757012053638,48
phosphate_umolL,ran_pars,Residual,sd__Observation,0.11694001430392623,NA,NA,NA,NA,53,0.11694001430392623,32.67878506026819,-55.35757012053638,-45.506110552775766,-65.35757012053638,48
silicate_umolL,fixed,NA,(Intercept),0.7541597257141934,0.017754525016084224,42.477043178062104,5.088523844990994,1.0904822764372338e-7,53,0.11363900450639441,35.16704684388405,-60.3340936877681,-50.48263412000749,-70.3340936877681,48
silicate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.23807538418768923,0.11367588515874812,-2.0943349933472475,45.366734561143566,0.0418462304303646,53,0.11363900450639441,35.16704684388405,-60.3340936877681,-50.48263412000749,-70.3340936877681,48
silicate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.22915446911194967,0.11421744937756916,2.0063000037273873,47.84215924720534,0.050495273439962185,53,0.11363900450639441,35.16704684388405,-60.3340936877681,-50.48263412000749,-70.3340936877681,48
silicate_umolL,ran_pars,new_colonynumber,sd__(Intercept),0.020707369630236828,NA,NA,NA,NA,53,0.11363900450639441,35.16704684388405,-60.3340936877681,-50.48263412000749,-70.3340936877681,48
silicate_umolL,ran_pars,Residual,sd__Observation,0.11363900450639441,NA,NA,NA,NA,53,0.11363900450639441,35.16704684388405,-60.3340936877681,-50.48263412000749,-70.3340936877681,48
NN_umolL,fixed,NA,(Intercept),0.754218070773585,0.016668702848048954,45.24755631250965,49.99999999978061,3.0749746451641384e-42,53,0.12134998844555953,32.52174948425815,-55.0434989685163,-45.19203940075569,-65.0434989685163,48
NN_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.14826205432339537,0.12134998844555958,-1.2217722986426913,49.99999999951795,0.2275228585841638,53,0.12134998844555953,32.52174948425815,-55.0434989685163,-45.19203940075569,-65.0434989685163,48
NN_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.11524416244080003,0.12134998844555953,0.9496841649268165,49.999999999517854,0.34684073966930984,53,0.12134998844555953,32.52174948425815,-55.0434989685163,-45.19203940075569,-65.0434989685163,48
NN_umolL,ran_pars,new_colonynumber,sd__(Intercept),0,NA,NA,NA,NA,53,0.12134998844555953,32.52174948425815,-55.0434989685163,-45.19203940075569,-65.0434989685163,48
NN_umolL,ran_pars,Residual,sd__Observation,0.12134998844555953,NA,NA,NA,NA,53,0.12134998844555953,32.52174948425815,-55.0434989685163,-45.19203940075569,-65.0434989685163,48
ammonia_umolL,fixed,NA,(Intercept),0.7484214420588234,0.016091754257459165,46.50962412702148,47.99999999949868,1.3886941730245393e-41,51,0.11491811131934433,33.77474061776623,-57.549481235532454,-47.89035307191082,-67.54948123553245,46
ammonia_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.11771998009420104,0.11491811131934433,-1.0243814377271712,47.999999999528725,0.3107901720514112,51,0.11491811131934433,33.77474061776623,-57.549481235532454,-47.89035307191082,-67.54948123553245,46
ammonia_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.27948557188671647,0.11491811131934436,2.432041117609894,47.99999999952876,0.018794028467090315,51,0.11491811131934433,33.77474061776623,-57.549481235532454,-47.89035307191082,-67.54948123553245,46
ammonia_umolL,ran_pars,new_colonynumber,sd__(Intercept),0,NA,NA,NA,NA,51,0.11491811131934433,33.77474061776623,-57.549481235532454,-47.89035307191082,-67.54948123553245,46
ammonia_umolL,ran_pars,Residual,sd__Observation,0.11491811131934433,NA,NA,NA,NA,51,0.11491811131934433,33.77474061776623,-57.549481235532454,-47.89035307191082,-67.54948123553245,46
temp_C,fixed,NA,(Intercept),0.7536171809767398,0.02553250906387486,29.51598603534852,2.9746958061717277,9.094439970767424e-5,53,0.11158825635675722,34.730939363132016,-59.46187872626403,-49.61041915850342,-69.46187872626403,48
temp_C,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.31928347255056017,0.1714648115199832,-1.8620932757001842,5.072528267680909,0.1208107384915767,53,0.11158825635675722,34.730939363132016,-59.46187872626403,-49.61041915850342,-69.46187872626403,48
temp_C,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",-0.24477830459979433,0.12867017599722816,-1.902370170108941,38.68581210981731,0.06458627695159368,53,0.11158825635675722,34.730939363132016,-59.46187872626403,-49.61041915850342,-69.46187872626403,48
temp_C,ran_pars,new_colonynumber,sd__(Intercept),0.04999927974932701,NA,NA,NA,NA,53,0.11158825635675722,34.730939363132016,-59.46187872626403,-49.61041915850342,-69.46187872626403,48
temp_C,ran_pars,Residual,sd__Observation,0.11158825635675722,NA,NA,NA,NA,53,0.11158825635675722,34.730939363132016,-59.46187872626403,-49.61041915850342,-69.46187872626403,48
