Predictor_Variable,effect,group,term,estimate,std.error,statistic,df,p.value,nobs,sigma,logLik,AIC,BIC,REMLcrit,df.residual
phosphate_umolL,fixed,NA,(Intercept),0.11301713425795432,0.019581159955703975,5.771728258878378,4.9544514711429155,0.002261892238889487,53,0.0874479426643204,46.5957362197004,-83.1914724394008,-73.34001287164018,-93.1914724394008,48
phosphate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.007966585581679064,0.09894286729881337,-0.08051702764606063,47.14444893485211,0.9361668917396415,53,0.0874479426643204,46.5957362197004,-83.1914724394008,-73.34001287164018,-93.1914724394008,48
phosphate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.04003733920459875,0.08836048706997629,0.45311360917342547,46.50829183756166,0.6525739047378799,53,0.0874479426643204,46.5957362197004,-83.1914724394008,-73.34001287164018,-93.1914724394008,48
phosphate_umolL,ran_pars,new_colonynumber,sd__(Intercept),0.037864805179860565,NA,NA,NA,NA,53,0.0874479426643204,46.5957362197004,-83.1914724394008,-73.34001287164018,-93.1914724394008,48
phosphate_umolL,ran_pars,Residual,sd__Observation,0.0874479426643204,NA,NA,NA,NA,53,0.0874479426643204,46.5957362197004,-83.1914724394008,-73.34001287164018,-93.1914724394008,48
silicate_umolL,fixed,NA,(Intercept),0.11302472100133752,0.019216921472789285,5.881520677564193,5.008027858791276,0.0020071915484368937,53,0.08601762496321755,47.3134502451425,-84.626900490285,-74.77544092252438,-94.626900490285,48
silicate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.11495322610251743,0.08609487019996633,-1.3351925130443183,45.146812619223375,0.1885069731948621,53,0.08601762496321755,47.3134502451425,-84.626900490285,-74.77544092252438,-94.626900490285,48
silicate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",-0.03125543490185082,0.0872319774083351,-0.35830249216458016,46.505219787606876,0.7217383255924457,53,0.08601762496321755,47.3134502451425,-84.626900490285,-74.77544092252438,-94.626900490285,48
silicate_umolL,ran_pars,new_colonynumber,sd__(Intercept),0.0371097880723056,NA,NA,NA,NA,53,0.08601762496321755,47.3134502451425,-84.626900490285,-74.77544092252438,-94.626900490285,48
silicate_umolL,ran_pars,Residual,sd__Observation,0.08601762496321755,NA,NA,NA,NA,53,0.08601762496321755,47.3134502451425,-84.626900490285,-74.77544092252438,-94.626900490285,48
NN_umolL,fixed,NA,(Intercept),0.11304756354604063,0.01937906126354883,5.833490178323455,4.973451500182218,0.002130788473055803,53,0.0875545379409768,46.557278697842605,-83.11455739568521,-73.2630978279246,-93.11455739568521,48
NN_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.03538208587683546,0.08940864983966297,-0.3957344836353792,47.50235318954318,0.6940727378032501,53,0.0875545379409768,46.557278697842605,-83.11455739568521,-73.2630978279246,-93.11455739568521,48
NN_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",-0.018286335770019646,0.09460631015205011,-0.19328875357922817,49.95562473166114,0.8475165796295532,53,0.0875545379409768,46.557278697842605,-83.11455739568521,-73.2630978279246,-93.11455739568521,48
NN_umolL,ran_pars,new_colonynumber,sd__(Intercept),0.03720764432804602,NA,NA,NA,NA,53,0.0875545379409768,46.557278697842605,-83.11455739568521,-73.2630978279246,-93.11455739568521,48
NN_umolL,ran_pars,Residual,sd__Observation,0.0875545379409768,NA,NA,NA,NA,53,0.0875545379409768,46.557278697842605,-83.11455739568521,-73.2630978279246,-93.11455739568521,48
ammonia_umolL,fixed,NA,(Intercept),0.10988446422401318,0.018307062046334883,6.002299219060784,4.715194127370683,0.002253431799344532,51,0.08729251632559364,45.16093246421309,-80.32186492842618,-70.66273676480455,-90.32186492842618,46
ammonia_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",0.05710092432288585,0.10191349871728204,0.5602881369158894,33.9226688793836,0.5789646865507776,51,0.08729251632559364,45.16093246421309,-80.32186492842618,-70.66273676480455,-90.32186492842618,46
ammonia_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.004613214503292438,0.09172330297754815,0.05029490166115858,47.944792562054246,0.9600963379939926,51,0.08729251632559364,45.16093246421309,-80.32186492842618,-70.66273676480455,-90.32186492842618,46
ammonia_umolL,ran_pars,new_colonynumber,sd__(Intercept),0.03335400191524882,NA,NA,NA,NA,51,0.08729251632559364,45.16093246421309,-80.32186492842618,-70.66273676480455,-90.32186492842618,46
ammonia_umolL,ran_pars,Residual,sd__Observation,0.08729251632559364,NA,NA,NA,NA,51,0.08729251632559364,45.16093246421309,-80.32186492842618,-70.66273676480455,-90.32186492842618,46
temp_C,fixed,NA,(Intercept),0.11356093499371565,0.0233265808740761,4.868306058515465,3.4258004270866973,0.01208522953805688,53,0.08064720273034902,50.0002261121648,-90.0004522243296,-80.14899265656899,-100.0004522243296,48
temp_C,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",0.00143130319271382,0.14687568540381576,0.009744997538419217,7.443557846006783,0.9924808158981959,53,0.08064720273034902,50.0002261121648,-90.0004522243296,-80.14899265656899,-100.0004522243296,48
temp_C,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.2482486890428208,0.0970473170206377,2.558017023696072,45.65159512289515,0.013913144131588732,53,0.08064720273034902,50.0002261121648,-90.0004522243296,-80.14899265656899,-100.0004522243296,48
temp_C,ran_pars,new_colonynumber,sd__(Intercept),0.05027169415406976,NA,NA,NA,NA,53,0.08064720273034902,50.0002261121648,-90.0004522243296,-80.14899265656899,-100.0004522243296,48
temp_C,ran_pars,Residual,sd__Observation,0.08064720273034902,NA,NA,NA,NA,53,0.08064720273034902,50.0002261121648,-90.0004522243296,-80.14899265656899,-100.0004522243296,48
new_pH,fixed,NA,(Intercept),0.11285486686682283,0.02039176291264677,5.534335964490414,4.974745895906668,0.0026842741651547253,53,0.08157997318925427,49.46152430929391,-88.92304861858781,-79.0715890508272,-98.92304861858781,48
new_pH,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",0.06524084776111712,0.08197249729861811,0.7958870342018597,45.54445463546315,0.4302265570484285,53,0.08157997318925427,49.46152430929391,-88.92304861858781,-79.0715890508272,-98.92304861858781,48
new_pH,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.21595932379072091,0.08763135973305379,2.4644068567301134,49.46949130986825,0.017243645998100954,53,0.08157997318925427,49.46152430929391,-88.92304861858781,-79.0715890508272,-98.92304861858781,48
new_pH,ran_pars,new_colonynumber,sd__(Intercept),0.0417189799993787,NA,NA,NA,NA,53,0.08157997318925427,49.46152430929391,-88.92304861858781,-79.0715890508272,-98.92304861858781,48
