Predictor_Variable,effect,group,term,estimate,std.error,statistic,df,p.value,nobs,sigma,logLik,AIC,BIC,REMLcrit,df.residual
phosphate_umolL,fixed,NA,(Intercept),0.35377612548505966,0.02224192320222588,15.905824432019225,4.589753770440658,3.4374871369902455e-5,53,0.059769553321532,63.14514178202043,-116.29028356404086,-106.43882399628025,-126.29028356404086,48
phosphate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.06945061648859215,0.07163425956046154,-0.9695167775130511,49.49082856793277,0.3370018825006409,53,0.059769553321532,63.14514178202043,-116.29028356404086,-106.43882399628025,-126.29028356404086,48
phosphate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.10988835376605974,0.06068513031461041,1.8107953825980871,45.266555355009196,0.07681224744647391,53,0.059769553321532,63.14514178202043,-116.29028356404086,-106.43882399628025,-126.29028356404086,48
phosphate_umolL,ran_pars,new_colonynumber,sd__(Intercept),0.05062671037346694,NA,NA,NA,NA,53,0.059769553321532,63.14514178202043,-116.29028356404086,-106.43882399628025,-126.29028356404086,48
phosphate_umolL,ran_pars,Residual,sd__Observation,0.059769553321532,NA,NA,NA,NA,53,0.059769553321532,63.14514178202043,-116.29028356404086,-106.43882399628025,-126.29028356404086,48
silicate_umolL,fixed,NA,(Intercept),0.3539956465108886,0.021579366138937038,16.40435795155964,4.987221611706081,1.5676584749188812e-5,53,0.05951377025444519,63.315296724954266,-116.63059344990853,-106.77913388214792,-126.63059344990853,48
silicate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.018409710878474074,0.059587791893357764,-0.3089510500980017,45.039988773308394,0.758783408515052,53,0.05951377025444519,63.315296724954266,-116.63059344990853,-106.77913388214792,-126.63059344990853,48
silicate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.13057081941255835,0.06067923449656754,2.1518204785517585,45.58488802713076,0.036743624585750194,53,0.05951377025444519,63.315296724954266,-116.63059344990853,-106.77913388214792,-126.63059344990853,48
silicate_umolL,ran_pars,new_colonynumber,sd__(Intercept),0.04891203703578477,NA,NA,NA,NA,53,0.05951377025444519,63.315296724954266,-116.63059344990853,-106.77913388214792,-126.63059344990853,48
silicate_umolL,ran_pars,Residual,sd__Observation,0.05951377025444519,NA,NA,NA,NA,53,0.05951377025444519,63.315296724954266,-116.63059344990853,-106.77913388214792,-126.63059344990853,48
NN_umolL,fixed,NA,(Intercept),0.3541412713048522,0.0201466150084096,17.578202152422456,4.868694598548724,1.3613126226706906e-5,53,0.05895557910810187,64.1996549169614,-118.39930983392281,-108.5478502661622,-128.3993098339228,48
NN_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.146970899182381,0.060722483931777635,-2.4203703416926157,46.11125602098017,0.01950145184375807,53,0.05895557910810187,64.1996549169614,-118.39930983392281,-108.5478502661622,-128.3993098339228,48
NN_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.05383539159992503,0.06577498481278801,0.8184782064663939,48.56874897044714,0.41708196758162264,53,0.05895557910810187,64.1996549169614,-118.39930983392281,-108.5478502661622,-128.3993098339228,48
NN_umolL,ran_pars,new_colonynumber,sd__(Intercept),0.04517913166826823,NA,NA,NA,NA,53,0.05895557910810187,64.1996549169614,-118.39930983392281,-108.5478502661622,-128.3993098339228,48
NN_umolL,ran_pars,Residual,sd__Observation,0.05895557910810187,NA,NA,NA,NA,53,0.05895557910810187,64.1996549169614,-118.39930983392281,-108.5478502661622,-128.3993098339228,48
ammonia_umolL,fixed,NA,(Intercept),0.3513263543395017,0.016469814189373173,21.331531145396177,4.4592712218580814,1.164992348259488e-5,51,0.05464014856262282,65.93800912365579,-121.87601824731158,-112.21689008368995,-131.87601824731158,46
ammonia_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.08360999713478104,0.06911304555654774,-1.2097570937801028,45.853311884223466,0.23257228151358028,51,0.05464014856262282,65.93800912365579,-121.87601824731158,-112.21689008368995,-131.87601824731158,46
ammonia_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.19776613626306455,0.05875516037388862,3.365936455701579,46.32365322616279,0.0015413887176892109,51,0.05464014856262282,65.93800912365579,-121.87601824731158,-112.21689008368995,-131.87601824731158,46
ammonia_umolL,ran_pars,new_colonynumber,sd__(Intercept),0.03570919839928118,NA,NA,NA,NA,51,0.05464014856262282,65.93800912365579,-121.87601824731158,-112.21689008368995,-131.87601824731158,46
ammonia_umolL,ran_pars,Residual,sd__Observation,0.05464014856262282,NA,NA,NA,NA,51,0.05464014856262282,65.93800912365579,-121.87601824731158,-112.21689008368995,-131.87601824731158,46
temp_C,fixed,NA,(Intercept),0.354063813490566,0.0074030198137348185,47.8269439227586,49.999999999744674,2.0447675917090573e-43,53,0.05389479775651047,73.10399349809082,-136.20798699618163,-126.35652742842102,-146.20798699618163,48
temp_C,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.36423427077608805,0.05389479775651049,-6.758245432548981,49.999999999808466,1.4339690006904723e-8,53,0.05389479775651047,73.10399349809082,-136.20798699618163,-126.35652742842102,-146.20798699618163,48
temp_C,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",-0.10243266181366624,0.05389479775651045,-1.9006038815924946,49.99999999980833,0.06312667854367943,53,0.05389479775651047,73.10399349809082,-136.20798699618163,-126.35652742842102,-146.20798699618163,48
temp_C,ran_pars,new_colonynumber,sd__(Intercept),0,NA,NA,NA,NA,53,0.05389479775651047,73.10399349809082,-136.20798699618163,-126.35652742842102,-146.20798699618163,48
temp_C,ran_pars,Residual,sd__Observation,0.05389479775651047,NA,NA,NA,NA,53,0.05389479775651047,73.10399349809082,-136.20798699618163,-126.35652742842102,-146.20798699618163,48
new_pH,fixed,NA,(Intercept),0.3539069035279854,0.020652403031030202,17.136354689390906,4.9981291798336835,1.2425941221265163e-5,53,0.06225499037483385,61.57944294708889,-113.15888589417779,-103.30742632641717,-123.15888589417779,48
new_pH,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.029364331125200455,0.06262191273977664,-0.4689146313243895,45.340994636506586,0.6413775509672277,53,0.06225499037483385,61.57944294708889,-113.15888589417779,-103.30742632641717,-123.15888589417779,48
new_pH,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.05002062126682661,0.06787350645679285,0.7369682793487162,48.11371223689389,0.46472032034022237,53,0.06225499037483385,61.57944294708889,-113.15888589417779,-103.30742632641717,-123.15888589417779,48
