Predictor_Variable,effect,group,term,estimate,std.error,statistic,df,p.value,nobs,sigma,logLik,AIC,BIC,REMLcrit,df.residual
phosphate_umolL,fixed,NA,(Intercept),0.726916250142387,0.04094442391816639,17.753730070674308,6.949891342293559,4.781220952601125e-7,69,0.14852989156955665,24.38881329308382,-38.77762658616764,-27.607094063181343,-48.77762658616764,64
phosphate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.08746038878074837,0.15163869020939055,-0.576768294819604,60.311643236521505,0.5662425777308574,69,0.14852989156955665,24.38881329308382,-38.77762658616764,-27.607094063181343,-48.77762658616764,64
phosphate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.17520974485963842,0.15921996540229674,1.1004257187026811,62.93205658264887,0.2753381533394019,69,0.14852989156955665,24.38881329308382,-38.77762658616764,-27.607094063181343,-48.77762658616764,64
phosphate_umolL,ran_pars,new_colonynumber,sd__(Intercept),0.10414814393694521,NA,NA,NA,NA,69,0.14852989156955665,24.38881329308382,-38.77762658616764,-27.607094063181343,-48.77762658616764,64
phosphate_umolL,ran_pars,Residual,sd__Observation,0.14852989156955665,NA,NA,NA,NA,69,0.14852989156955665,24.38881329308382,-38.77762658616764,-27.607094063181343,-48.77762658616764,64
silicate_umolL,fixed,NA,(Intercept),0.726289574991836,0.043601434400172584,16.65746975950317,6.837196637460695,8.676584956621766e-7,69,0.14063760799199287,27.22331752904019,-44.44663505808038,-33.27610253509408,-54.44663505808038,64
silicate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.18688204226730326,0.14888415151703252,-1.2552178345585947,61.716642588061745,0.21413175991252553,69,0.14063760799199287,27.22331752904019,-44.44663505808038,-33.27610253509408,-54.44663505808038,64
silicate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.409808167687208,0.15455308037224177,2.651569070640218,63.12684085831186,0.010117996393013907,69,0.14063760799199287,27.22331752904019,-44.44663505808038,-33.27610253509408,-54.44663505808038,64
silicate_umolL,ran_pars,new_colonynumber,sd__(Intercept),0.11361715815844775,NA,NA,NA,NA,69,0.14063760799199287,27.22331752904019,-44.44663505808038,-33.27610253509408,-54.44663505808038,64
silicate_umolL,ran_pars,Residual,sd__Observation,0.14063760799199287,NA,NA,NA,NA,69,0.14063760799199287,27.22331752904019,-44.44663505808038,-33.27610253509408,-54.44663505808038,64
NN_umolL,fixed,NA,(Intercept),0.7263796878136844,0.04440451925593532,16.358237854733517,6.446159132525363,1.7204104946473443e-6,69,0.1437805590118382,25.969826053036705,-41.93965210607341,-30.76911958308711,-51.93965210607341,64
NN_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.3257752979727519,0.19478771528226455,-1.6724632634079353,64.46708447604982,0.09927992161195955,69,0.1437805590118382,25.969826053036705,-41.93965210607341,-30.76911958308711,-51.93965210607341,64
NN_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.2065456708327215,0.14623735025100598,1.4124002553260202,59.50853048019866,0.16304064207409794,69,0.1437805590118382,25.969826053036705,-41.93965210607341,-30.76911958308711,-51.93965210607341,64
NN_umolL,ran_pars,new_colonynumber,sd__(Intercept),0.11562977596026974,NA,NA,NA,NA,69,0.1437805590118382,25.969826053036705,-41.93965210607341,-30.76911958308711,-51.93965210607341,64
NN_umolL,ran_pars,Residual,sd__Observation,0.1437805590118382,NA,NA,NA,NA,69,0.1437805590118382,25.969826053036705,-41.93965210607341,-30.76911958308711,-51.93965210607341,64
ammonia_umolL,fixed,NA,(Intercept),0.726507796540269,0.04283360084916302,16.961165583501607,6.797163927811407,8.151239319187876e-7,69,0.14730529316369373,24.647100467069556,-39.29420093413911,-28.123668411152813,-49.29420093413911,64
ammonia_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.17851988194142798,0.15494846336879076,-1.1521242486705738,61.50045528063799,0.25372897944699574,69,0.14730529316369373,24.647100467069556,-39.29420093413911,-28.123668411152813,-49.29420093413911,64
ammonia_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.14983152483582798,0.16686070892054383,0.8979437148812256,64.58216747629605,0.3725510417290743,69,0.14730529316369373,24.647100467069556,-39.29420093413911,-28.123668411152813,-49.29420093413911,64
ammonia_umolL,ran_pars,new_colonynumber,sd__(Intercept),0.11024675925892267,NA,NA,NA,NA,69,0.14730529316369373,24.647100467069556,-39.29420093413911,-28.123668411152813,-49.29420093413911,64
ammonia_umolL,ran_pars,Residual,sd__Observation,0.14730529316369373,NA,NA,NA,NA,69,0.14730529316369373,24.647100467069556,-39.29420093413911,-28.123668411152813,-49.29420093413911,64
temp_C,fixed,NA,(Intercept),0.7267703828030728,0.042215098656538885,17.21588734675384,6.268464509240862,1.6299333631925173e-6,69,0.1496234496442067,24.596017749487853,-39.192035498975706,-28.021502975989407,-49.192035498975706,64
temp_C,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",0.10825881613411374,0.3138991141006786,0.3448841085272744,9.456867315297375,0.7377282880510628,69,0.1496234496442067,24.596017749487853,-39.192035498975706,-28.021502975989407,-49.192035498975706,64
temp_C,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.10870431493073364,0.1967949500807514,0.5523734978266907,44.242199174176,0.5834724854653767,69,0.1496234496442067,24.596017749487853,-39.192035498975706,-28.021502975989407,-49.192035498975706,64
temp_C,ran_pars,new_colonynumber,sd__(Intercept),0.10793935405323424,NA,NA,NA,NA,69,0.1496234496442067,24.596017749487853,-39.192035498975706,-28.021502975989407,-49.192035498975706,64
temp_C,ran_pars,Residual,sd__Observation,0.1496234496442067,NA,NA,NA,NA,69,0.1496234496442067,24.596017749487853,-39.192035498975706,-28.021502975989407,-49.192035498975706,64
new_pH,fixed,NA,(Intercept),0.7271567004093604,0.039522741977764286,18.398437558266146,6.924622592671012,3.896322074505237e-7,69,0.14788253859124637,25.016271908390447,-40.032543816780894,-28.862011293794595,-50.032543816780894,64
new_pH,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.2738776120276974,0.17467784497762717,-1.5679012530912309,65.99578310902633,0.12168684952982999,69,0.14788253859124637,25.016271908390447,-40.032543816780894,-28.862011293794595,-50.032543816780894,64
new_pH,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",-0.07338581361149667,0.15476617561223893,-0.4741721718016873,61.82198792944213,0.6370476536157164,69,0.14788253859124637,25.016271908390447,-40.032543816780894,-28.862011293794595,-50.032543816780894,64
new_pH,ran_pars,new_colonynumber,sd__(Intercept),0.09977077195765977,NA,NA,NA,NA,69,0.14788253859124637,25.016271908390447,-40.032543816780894,-28.862011293794595,-50.032543816780894,64
new_pH,ran_pars,Residual,sd__Observation,0.14788253859124637,NA,NA,NA,NA,69,0.14788253859124637,25.016271908390447,-40.032543816780894,-28.862011293794595,-50.032543816780894,64
TA_initial,fixed,NA,(Intercept),0.7265080544408287,0.043695760108483604,16.626511419806516,6.321357199530102,1.8668099261724827e-6,69,0.14801387318700518,24.352120516807027,-38.70424103361405,-27.533708510627754,-48.70424103361405,64
TA_initial,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.13807267213261926,0.19238588348283403,-0.7176860881528193,64.74705181777468,0.47553237628495415,69,0.14801387318700518,24.352120516807027,-38.70424103361405,-27.533708510627754,-48.70424103361405,64
TA_initial,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.15155863116140167,0.15707173548966857,0.96490072315633435,62.81688156418776,0.33829461189523924,69,0.14801387318700518,24.352120516807027,-38.70424103361405,-27.533708510627754,-48.70424103361405,64
TA_initial,ran_pars,new_colonynumber,sd__(Intercept),0.11281039941423783,NA,NA,NA,NA,69,0.14801387318700518,24.352120516807027,-38.70424103361405,-27.533708510627754,-48.70424103361405,64
TA_initial,ran_pars,Residual,sd__Observation,0.14801387318700518,NA,NA,NA,NA,69,0.14801387318700518,24.352120516807027,-38.70424103361405,-27.533708510627754,-48.70424103361405,64
Salinity,fixed,NA,(Intercept),0.7271574486676353,0.040279161624430036,18.052943987458796,6.639024742379248,6.848782917366687e-7,69,0.15061436797841082,23.943712214168404,-37.88742442833681,-26.716891905350508,-47.88742442833681,64
Salinity,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",0.06685267844918918,0.20096336505419676,0.3326610222274096,57.253460633317346,0.7406051796694608,69,0.15061436797841082,23.943712214168404,-37.88742442833681,-26.716891905350508,-47.88742442833681,64
Salinity,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",-0.020055972830365382,0.1669441038166692,-0.12013585608504021,65.9229024654746,0.9047409199099181,69,0.15061436797841082,23.943712214168404,-37.88742442833681,-26.716891905350508,-47.88742442833681,64
Salinity,ran_pars,new_colonynumber,sd__(Intercept),0.10168741516248352,NA,NA,NA,NA,69,0.15061436797841082,23.943712214168404,-37.88742442833681,-26.716891905350508,-47.88742442833681,64
Salinity,ran_pars,Residual,sd__Observation,0.15061436797841082,NA,NA,NA,NA,69,0.15061436797841082,23.943712214168404,-37.88742442833681,-26.716891905350508,-47.88742442833681,64
