Predictor_Variable,effect,group,term,estimate,std.error,statistic,df,p.value,nobs,sigma,logLik,AIC,BIC,REMLcrit,df.residual
phosphate_umolL,fixed,NA,(Intercept),0.09545674021358978,0.03565278803587476,2.6773990330724975,6.974672218494645,0.03176531004256834,69,0.11479911662740615,40.561206429093254,-71.12241285818651,-59.95188033520021,-81.12241285818651,64
phosphate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.5084089723444171,0.11734058492426103,-4.332763235095309,60.06749984348189,5.689257401199286e-5,69,0.11479911662740615,40.561206429093254,-71.12241285818651,-59.95188033520021,-81.12241285818651,64
phosphate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.017299104516993152,0.12355644241551762,0.14000973303210398,62.25255848665166,0.8891043157921492,69,0.11479911662740615,40.561206429093254,-71.12241285818651,-59.95188033520021,-81.12241285818651,64
phosphate_umolL,ran_pars,new_colonynumber,sd__(Intercept),0.09293349739173835,NA,NA,NA,NA,69,0.11479911662740615,40.561206429093254,-71.12241285818651,-59.95188033520021,-81.12241285818651,64
phosphate_umolL,ran_pars,Residual,sd__Observation,0.11479911662740615,NA,NA,NA,NA,69,0.11479911662740615,40.561206429093254,-71.12241285818651,-59.95188033520021,-81.12241285818651,64
silicate_umolL,fixed,NA,(Intercept),0.09511673203494335,0.03677784048489604,2.5862511441911873,6.959661706110918,0.03632230080716841,69,0.123471032468655,36.09286357776787,-62.185727155535744,-51.015194632549445,-72.18572715553574,64
silicate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.2748175331637202,0.13057519618427507,-2.1046687364412016,61.98728079372793,0.03938127231956281,69,0.123471032468655,36.09286357776787,-62.185727155535744,-51.015194632549445,-72.18572715553574,64
silicate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",-0.21415248171999482,0.13546113763360937,-1.5809145372691842,63.43898041465351,0.11887101599542729,69,0.123471032468655,36.09286357776787,-62.185727155535744,-51.015194632549445,-72.18572715553574,64
silicate_umolL,ran_pars,new_colonynumber,sd__(Intercept),0.09512263075030969,NA,NA,NA,NA,69,0.123471032468655,36.09286357776787,-62.185727155535744,-51.015194632549445,-72.18572715553574,64
silicate_umolL,ran_pars,Residual,sd__Observation,0.123471032468655,NA,NA,NA,NA,69,0.123471032468655,36.09286357776787,-62.185727155535744,-51.015194632549445,-72.18572715553574,64
NN_umolL,fixed,NA,(Intercept),0.0950330111802437,0.0347163595989736,2.737412916504453,6.891432131149003,0.02947350132287945,69,0.1269562032601756,35.01398248209207,-60.027964964184136,-48.85743244119784,-70.02796496418414,64
NN_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.2224896876252663,0.16856484153136708,-1.3199056553193789,61.815900195210915,0.19173368949375896,69,0.1269562032601756,35.01398248209207,-60.027964964184136,-48.85743244119784,-70.02796496418414,64
NN_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",-0.23562269106975364,0.12901365343993879,-1.82633918804141,60.18875152521996,0.07275979454074687,69,0.1269562032601756,35.01398248209207,-60.027964964184136,-48.85743244119784,-70.02796496418414,64
NN_umolL,ran_pars,new_colonynumber,sd__(Intercept),0.08813578125643624,NA,NA,NA,NA,69,0.1269562032601756,35.01398248209207,-60.027964964184136,-48.85743244119784,-70.02796496418414,64
NN_umolL,ran_pars,Residual,sd__Observation,0.1269562032601756,NA,NA,NA,NA,69,0.1269562032601756,35.01398248209207,-60.027964964184136,-48.85743244119784,-70.02796496418414,64
ammonia_umolL,fixed,NA,(Intercept),0.09531725612258456,0.0368150937437713,2.5890809021425123,7.020975454028979,0.03590004903930385,69,0.1287488166780509,33.64959249544538,-57.299184990890765,-46.128652467904466,-67.29918499089077,64
ammonia_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.1550054882823312,0.13537660953007966,-1.1449946103716697,61.72774550741742,0.2566315184996368,69,0.1287488166780509,33.64959249544538,-57.299184990890765,-46.128652467904466,-67.29918499089077,64
ammonia_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",-0.15555216296801738,0.14569211107037863,-1.06767732188928,64.74485629655702,0.2896309801602124,69,0.1287488166780509,33.64959249544538,-57.299184990890765,-46.128652467904466,-67.29918499089077,64
ammonia_umolL,ran_pars,new_colonynumber,sd__(Intercept),0.09442022914904645,NA,NA,NA,NA,69,0.1287488166780509,33.64959249544538,-57.299184990890765,-46.128652467904466,-67.29918499089077,64
ammonia_umolL,ran_pars,Residual,sd__Observation,0.1287488166780509,NA,NA,NA,NA,69,0.1287488166780509,33.64959249544538,-57.299184990890765,-46.128652467904466,-67.29918499089077,64
temp_C,fixed,NA,(Intercept),0.09540801854718038,0.03685749803891163,2.5885647052454592,6.1811929324843735,0.04019638676135295,69,0.12932050457969307,34.15924833313715,-58.3184966662743,-47.147964143288,-68.3184966662743,64
temp_C,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.06374566656467123,0.27353581375144265,-0.2330432190594093,9.386473829294978,0.8207306231996035,69,0.12932050457969307,34.15924833313715,-58.3184966662743,-47.147964143288,-68.3184966662743,64
