Predictor_Variable,effect,group,term,estimate,std.error,statistic,df,p.value,nobs,sigma,logLik,AIC,BIC,REMLcrit,df.residual
phosphate_umolL,fixed,NA,(Intercept),0.4270395129440929,0.04446865800436014,9.60315719224587,6.886284899920606,3.10250993110329e-5,69,0.10691454828699606,43.22110897324386,-76.44221794648772,-65.27168542350142,-86.44221794648772,64
phosphate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.0028325337908936842,0.10949812686320935,-0.025868331012020233,59.523344930208125,0.9794488912103452,69,0.10691454828699606,43.22110897324386,-76.44221794648772,-65.27168542350142,-86.44221794648772,64
phosphate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.13760487184031756,0.115847198656544,1.1878135460856438,60.87445511863708,0.2395208294927649,69,0.10691454828699606,43.22110897324386,-76.44221794648772,-65.27168542350142,-86.44221794648772,64
phosphate_umolL,ran_pars,new_colonynumber,sd__(Intercept),0.12037564797124539,NA,NA,NA,NA,69,0.10691454828699606,43.22110897324386,-76.44221794648772,-65.27168542350142,-86.44221794648772,64
phosphate_umolL,ran_pars,Residual,sd__Observation,0.10691454828699606,NA,NA,NA,NA,69,0.10691454828699606,43.22110897324386,-76.44221794648772,-65.27168542350142,-86.44221794648772,64
silicate_umolL,fixed,NA,(Intercept),0.42673868067817705,0.043192535010786196,9.8799174573016,6.983505189703127,2.3531596913564115e-5,69,0.10177409244850077,46.38543746898236,-82.77087493796472,-71.60034241497843,-92.77087493796472,64
silicate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.0985653079987302,0.10838545977328874,-0.9093960408056627,60.61865424280792,0.36674277965940094,69,0.10177409244850077,46.38543746898236,-82.77087493796472,-71.60034241497843,-92.77087493796472,64
silicate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.3167535844697579,0.11291787770256635,2.80516771050293,61.48890715964305,0.006723791374443421,69,0.10177409244850077,46.38543746898236,-82.77087493796472,-71.60034241497843,-92.77087493796472,64
silicate_umolL,ran_pars,new_colonynumber,sd__(Intercept),0.11713265485020156,NA,NA,NA,NA,69,0.10177409244850077,46.38543746898236,-82.77087493796472,-71.60034241497843,-92.77087493796472,64
silicate_umolL,ran_pars,Residual,sd__Observation,0.10177409244850077,NA,NA,NA,NA,69,0.10177409244850077,46.38543746898236,-82.77087493796472,-71.60034241497843,-92.77087493796472,64
NN_umolL,fixed,NA,(Intercept),0.42672893790032984,0.04358523084335191,9.790677475909689,6.954361823074519,2.5670859749409547e-5,69,0.10292498753770811,45.86086412648345,-81.7217282529669,-70.5511957299806,-91.7217282529669,64
NN_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.28344639049088755,0.14457580042464413,-1.960538275827327,65.7358106190983,0.05417292611569414,69,0.10292498753770811,45.86086412648345,-81.7217282529669,-70.5511957299806,-91.7217282529669,64
NN_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.17535631020403047,0.10483896878191702,1.6726252865840523,59.52518563081004,0.09964969895144725,69,0.10292498753770811,45.86086412648345,-81.7217282529669,-70.5511957299806,-91.7217282529669,64
NN_umolL,ran_pars,new_colonynumber,sd__(Intercept),0.11817448726782427,NA,NA,NA,NA,69,0.10292498753770811,45.86086412648345,-81.7217282529669,-70.5511957299806,-91.7217282529669,64
NN_umolL,ran_pars,Residual,sd__Observation,0.10292498753770811,NA,NA,NA,NA,69,0.10292498753770811,45.86086412648345,-81.7217282529669,-70.5511957299806,-91.7217282529669,64
ammonia_umolL,fixed,NA,(Intercept),0.42656300197442204,0.046321561228591004,9.208735428181878,6.86015175746195,4.161437105289212e-5,69,0.10380341336494536,44.7735965260271,-79.5471930520542,-68.37666052906789,-89.5471930520542,64
ammonia_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.14319599467585198,0.10991529556186287,-1.3027849667679596,60.080689783798796,0.19761960072988505,69,0.10380341336494536,44.7735965260271,-79.5471930520542,-68.37666052906789,-89.5471930520542,64
ammonia_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.21168239188015853,0.11966863146151659,1.7689045934166299,61.83697460706841,0.08184129258082921,69,0.10380341336494536,44.7735965260271,-79.5471930520542,-68.37666052906789,-89.5471930520542,64
ammonia_umolL,ran_pars,new_colonynumber,sd__(Intercept),0.12614237859236654,NA,NA,NA,NA,69,0.10380341336494536,44.7735965260271,-79.5471930520542,-68.37666052906789,-89.5471930520542,64
ammonia_umolL,ran_pars,Residual,sd__Observation,0.10380341336494536,NA,NA,NA,NA,69,0.10380341336494536,44.7735965260271,-79.5471930520542,-68.37666052906789,-89.5471930520542,64
temp_C,fixed,NA,(Intercept),0.4270696113519615,0.04470311524567902,9.553464205008437,6.346095875279163,5.348669723133538e-5,69,0.10802861650683401,43.734324862749794,-77.46864972549959,-66.29811720251328,-87.46864972549959,64
temp_C,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",0.04968356960213055,0.3026927210347045,0.16413863350362562,13.04682270460362,0.8721375821208865,69,0.10802861650683401,43.734324862749794,-77.46864972549959,-66.29811720251328,-87.46864972549959,64
temp_C,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.051319166766945506,0.15962731655100465,0.3214936382805623,43.52035860789975,0.7493753565046231,69,0.10802861650683401,43.734324862749794,-77.46864972549959,-66.29811720251328,-87.46864972549959,64
temp_C,ran_pars,new_colonynumber,sd__(Intercept),0.12093737790027545,NA,NA,NA,NA,69,0.10802861650683401,43.734324862749794,-77.46864972549959,-66.29811720251328,-87.46864972549959,64
temp_C,ran_pars,Residual,sd__Observation,0.10802861650683401,NA,NA,NA,NA,69,0.10802861650683401,43.734324862749794,-77.46864972549959,-66.29811720251328,-87.46864972549959,64
new_pH,fixed,NA,(Intercept),0.42723367438879223,0.04394218897276679,9.722630673987831,6.90470400353407,2.814925299610057e-5,69,0.10706650350177514,43.366722868217686,-76.73344573643537,-65.56291321344906,-86.73344573643537,64
new_pH,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.1523794394575457,0.13034687066548614,-1.1690302857258654,63.611676369513766,0.24675357103494128,69,0.10706650350177514,43.366722868217686,-76.73344573643537,-65.56291321344906,-86.73344573643537,64
new_pH,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",-0.02700824250257278,0.11284717913289238,-0.23933467110211967,60.2279961757517,0.8116586891244428,69,0.10706650350177514,43.366722868217686,-76.73344573643537,-65.56291321344906,-86.73344573643537,64
new_pH,ran_pars,new_colonynumber,sd__(Intercept),0.11880346357664433,NA,NA,NA,NA,69,0.10706650350177514,43.366722868217686,-76.73344573643537,-65.56291321344906,-86.73344573643537,64
new_pH,ran_pars,Residual,sd__Observation,0.10706650350177514,NA,NA,NA,NA,69,0.10706650350177514,43.366722868217686,-76.73344573643537,-65.56291321344906,-86.73344573643537,64
TA_initial,fixed,NA,(Intercept),0.426876676881179,0.04434848894719113,9.625506686135148,6.857578930502258,3.139282455769419e-5,69,0.10627912216956094,43.83304432243622,-77.66608864487245,-66.49555612188615,-87.66608864487245,64
TA_initial,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.07414093303823903,0.1434278254079732,-0.5169215445283989,65.51679176106624,0.6069516161363302,69,0.10627912216956094,43.83304432243622,-77.66608864487245,-66.49555612188615,-87.66608864487245,64
TA_initial,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.16699603404131066,0.11392986138510504,1.4657793137905406,61.43561519739075,0.1478081414627618,69,0.10627912216956094,43.83304432243622,-77.66608864487245,-66.49555612188615,-87.66608864487245,64
TA_initial,ran_pars,new_colonynumber,sd__(Intercept),0.12008261309268266,NA,NA,NA,NA,69,0.10627912216956094,43.83304432243622,-77.66608864487245,-66.49555612188615,-87.66608864487245,64
TA_initial,ran_pars,Residual,sd__Observation,0.10627912216956094,NA,NA,NA,NA,69,0.10627912216956094,43.83304432243622,-77.66608864487245,-66.49555612188615,-87.66608864487245,64
Salinity,fixed,NA,(Intercept),0.4269487143448047,0.044011932054500144,9.700749192653312,6.838200301479721,3.0407479899103006e-5,69,0.10807726775734032,42.98147756275633,-75.96295512551266,-64.79242260252636,-85.96295512551266,64
Salinity,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.0716019994517131,0.15432450403572992,-0.4639703843476177,65.95762751383053,0.6441966417119269,69,0.10807726775734032,42.98147756275633,-75.96295512551266,-64.79242260252636,-85.96295512551266,64
Salinity,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",-0.041686878881277326,0.12337714689161758,-0.3378816898553973,64.00538366218629,0.736558060229052,69,0.10807726775734032,42.98147756275633,-75.96295512551266,-64.79242260252636,-85.96295512551266,64
Salinity,ran_pars,new_colonynumber,sd__(Intercept),0.11889687650906534,NA,NA,NA,NA,69,0.10807726775734032,42.98147756275633,-75.96295512551266,-64.79242260252636,-85.96295512551266,64
Salinity,ran_pars,Residual,sd__Observation,0.10807726775734032,NA,NA,NA,NA,69,0.10807726775734032,42.98147756275633,-75.96295512551266,-64.79242260252636,-85.96295512551266,64
