Predictor_Variable,effect,group,term,estimate,std.error,statistic,df,p.value,nobs,sigma,logLik,AIC,BIC,REMLcrit,df.residual
phosphate_umolL,fixed,NA,(Intercept),0.2993601249217249,0.01958123052542424,15.288116062626207,6.712115098772908,1.8252364695634088e-6,69,0.055139359209101964,88.02639430433908,-166.05278860867816,-154.88225608569186,-176.05278860867816,64
phosphate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.07754149944704479,0.056419090184584186,-1.3743840815822308,59.582661130963224,0.1744701141356322,69,0.055139359209101964,88.02639430433908,-166.05278860867816,-154.88225608569186,-176.05278860867816,64
phosphate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.05714611404772076,0.05955698242670649,0.9595199709462673,61.40328121653468,0.3410599793095256,69,0.055139359209101964,88.02639430433908,-166.05278860867816,-154.88225608569186,-176.05278860867816,64
phosphate_umolL,ran_pars,new_colonynumber,sd__(Intercept),0.052094559271455315,NA,NA,NA,NA,69,0.055139359209101964,88.02639430433908,-166.05278860867816,-154.88225608569186,-176.05278860867816,64
phosphate_umolL,ran_pars,Residual,sd__Observation,0.055139359209101964,NA,NA,NA,NA,69,0.055139359209101964,88.02639430433908,-166.05278860867816,-154.88225608569186,-176.05278860867816,64
silicate_umolL,fixed,NA,(Intercept),0.2991698184969348,0.021951620862484984,13.628598105400584,6.765996703222503,3.6100499613426867e-6,69,0.05336244762991701,89.21545319910544,-168.43090639821088,-157.2603738752246,-178.43090639821088,64
silicate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.10045335120870155,0.05680355304325289,-1.7684342937529218,60.539345362469405,0.0820263392820861,69,0.05336244762991701,89.21545319910544,-168.43090639821088,-157.2603738752246,-178.43090639821088,64
silicate_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.108886146966231,0.05916308796690546,1.840440563669353,61.48328086498924,0.07053076677734975,69,0.05336244762991701,89.21545319910544,-168.43090639821088,-157.2603738752246,-178.43090639821088,64
silicate_umolL,ran_pars,new_colonynumber,sd__(Intercept),0.0593616559799736,NA,NA,NA,NA,69,0.05336244762991701,89.21545319910544,-168.43090639821088,-157.2603738752246,-178.43090639821088,64
silicate_umolL,ran_pars,Residual,sd__Observation,0.05336244762991701,NA,NA,NA,NA,69,0.05336244762991701,89.21545319910544,-168.43090639821088,-157.2603738752246,-178.43090639821088,64
NN_umolL,fixed,NA,(Intercept),0.299242902735059,0.02200181376251882,13.600828820978117,6.1726407911545556,7.818370400715345e-6,69,0.055112858965378375,87.49292559567832,-164.98585119135663,-153.81531866837034,-174.98585119135663,64
NN_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.08695499468727912,0.07700566304802148,-1.1292025968668453,65.92567375641224,0.2629045458435926,69,0.055112858965378375,87.49292559567832,-164.98585119135663,-153.81531866837034,-174.98585119135663,64
NN_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",0.029756868419373448,0.05612585032005525,0.5301811598343042,58.78514141624615,0.597983370224332,69,0.055112858965378375,87.49292559567832,-164.98585119135663,-153.81531866837034,-174.98585119135663,64
NN_umolL,ran_pars,new_colonynumber,sd__(Intercept),0.05932419570655872,NA,NA,NA,NA,69,0.055112858965378375,87.49292559567832,-164.98585119135663,-153.81531866837034,-174.98585119135663,64
NN_umolL,ran_pars,Residual,sd__Observation,0.055112858965378375,NA,NA,NA,NA,69,0.055112858965378375,87.49292559567832,-164.98585119135663,-153.81531866837034,-174.98585119135663,64
ammonia_umolL,fixed,NA,(Intercept),0.29937915858712144,0.020252404832742023,14.782400463529928,6.8404557877754835,1.9166982009912547e-6,69,0.055608371279831786,87.38172731671096,-164.76345463342193,-153.59292211043564,-174.76345463342193,64
ammonia_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)1",-0.05953860944351624,0.058737354922043204,-1.0136413109261808,60.63209957914704,0.3147819323699817,69,0.055608371279831786,87.38172731671096,-164.76345463342193,-153.59292211043564,-174.76345463342193,64
ammonia_umolL,fixed,NA,"poly(log(Predictor_Values + 1), degree = 2)2",-0.03885072350172742,0.0636867382212111,-0.6100284703980655,63.024529752715154,0.5440362976314814,69,0.055608371279831786,87.38172731671096,-164.76345463342193,-153.59292211043564,-174.76345463342193,64
ammonia_umolL,ran_pars,new_colonynumber,sd__(Intercept),0.054051601217930983,NA,NA,NA,NA,69,0.055608371279831786,87.38172731671096,-164.76345463342193,-153.59292211043564,-174.76345463342193,64
ammonia_umolL,ran_pars,Residual,sd__Observation,0.055608371279831786,NA,NA,NA,NA,69,0.055608371279831786,87.38172731671096,-164.76345463342193,-153.59292211043564,-174.76345463342193,64
temp_C,fixed,NA,(Intercept),0.2992303914800631,0.021527556920205075,13.899876915397448,5.926125464730164,9.538373126672066e-6,69,0.05576333564925672,87.81172659938343,-165.62345319876687,-154.45292067578058,-175.62345319876687,64
